Cause ID,Cause Name,State,Gender,2013 DALYs,2013 DALYs YoY %,2014 DALYs,2014 DALYs YoY %,2015 DALYs,2015 DALYs YoY %,2016 DALYs,2016 DALYs YoY %,2017 DALYs,2017 DALYs YoY %,2018 DALYs,2018 DALYs YoY %,2019 DALYs,2019 DALYs YoY %,2020 DALYs,2020 DALYs YoY %,2021 DALYs,2021 DALYs YoY %,2022 DALYs,2022 DALYs YoY %,2023 DALYs,2023 DALYs YoY %
493,Ischemic heart disease,Andhra Pradesh,Male,2.55M,,2.55M,-0.07%,2.56M,+0.33%,2.68M,+4.90%,2.71M,+1.03%,2.57M,-4.98%,2.41M,-6.41%,2.43M,+0.75%,3.08M,+26.84%,2.54M,-17.50%,2.56M,+0.94%
493,Ischemic heart disease,Andhra Pradesh,Female,1.39M,,1.48M,+6.22%,1.50M,+1.10%,1.52M,+1.21%,1.49M,-1.67%,1.44M,-3.49%,1.33M,-7.72%,1.32M,-0.82%,1.41M,+6.97%,1.41M,-0.04%,1.41M,-0.01%
493,Ischemic heart disease,Arunachal Pradesh,Male,13.63K,,13.90K,+1.96%,14.38K,+3.49%,15.42K,+7.19%,15.90K,+3.12%,16.08K,+1.14%,15.80K,-1.70%,16.03K,+1.43%,20.67K,+28.93%,17.53K,-15.18%,19.41K,+10.73%
493,Ischemic heart disease,Arunachal Pradesh,Female,4.96K,,5.35K,+7.80%,5.63K,+5.16%,5.96K,+5.92%,6.11K,+2.53%,6.25K,+2.19%,6.13K,-1.78%,6.16K,+0.39%,7.66K,+24.38%,6.63K,-13.46%,7.26K,+9.52%
493,Ischemic heart disease,Assam,Male,446.13K,,438.96K,-1.61%,440.87K,+0.43%,468.96K,+6.37%,484.85K,+3.39%,494.56K,+2.00%,487.43K,-1.44%,490.21K,+0.57%,644.66K,+31.51%,563.81K,-12.54%,594.93K,+5.52%
493,Ischemic heart disease,Assam,Female,227.63K,,248.02K,+8.96%,262.81K,+5.96%,280.88K,+6.88%,289.53K,+3.08%,297.96K,+2.91%,285.03K,-4.34%,260.21K,-8.71%,268.10K,+3.04%,312.89K,+16.70%,329.61K,+5.34%
493,Ischemic heart disease,Bihar,Male,1.78M,,1.75M,-1.83%,1.68M,-4.03%,1.82M,+8.18%,1.77M,-2.47%,1.79M,+1.17%,1.74M,-2.83%,1.62M,-6.88%,2.23M,+37.30%,1.87M,-15.89%,1.99M,+6.14%
493,Ischemic heart disease,Bihar,Female,1.19M,,1.31M,+9.68%,1.30M,-0.49%,1.41M,+8.61%,1.36M,-3.74%,1.43M,+4.82%,1.37M,-3.78%,1.24M,-9.55%,1.44M,+16.32%,1.44M,-0.25%,1.50M,+4.25%
493,Ischemic heart disease,Chhattisgarh,Male,727.77K,,735.39K,+1.05%,751.04K,+2.13%,838.13K,+11.60%,861.26K,+2.76%,855.70K,-0.65%,847.59K,-0.95%,830.61K,-2.00%,1.18M,+42.57%,953.07K,-19.52%,958.33K,+0.55%
493,Ischemic heart disease,Chhattisgarh,Female,359.18K,,399.75K,+11.30%,425.33K,+6.40%,480.76K,+13.03%,500.50K,+4.11%,526.65K,+5.22%,530.89K,+0.80%,502.68K,-5.31%,679.48K,+35.17%,576.07K,-15.22%,562.41K,-2.37%
493,Ischemic heart disease,Delhi,Male,584.27K,,577.18K,-1.21%,555.38K,-3.78%,558.50K,+0.56%,510.08K,-8.67%,488.46K,-4.24%,433.87K,-11.18%,523.99K,+20.77%,679.07K,+29.60%,470.82K,-30.67%,482.52K,+2.49%
493,Ischemic heart disease,Delhi,Female,262.11K,,277.43K,+5.84%,265.79K,-4.20%,270.79K,+1.88%,248.21K,-8.34%,242.88K,-2.15%,216.24K,-10.97%,259.57K,+20.04%,320.08K,+23.31%,241.80K,-24.46%,243.92K,+0.88%
493,Ischemic heart disease,Goa,Male,78.32K,,79.93K,+2.06%,80.57K,+0.80%,82.36K,+2.23%,81.77K,-0.72%,80.25K,-1.86%,76.20K,-5.05%,77.19K,+1.31%,101.48K,+31.47%,82.62K,-18.58%,83.44K,+1.00%
493,Ischemic heart disease,Goa,Female,23.04K,,24.48K,+6.28%,25.05K,+2.32%,24.87K,-0.73%,24.27K,-2.41%,24.14K,-0.56%,22.99K,-4.75%,22.29K,-3.05%,26.25K,+17.79%,24.03K,-8.45%,24.62K,+2.43%
493,Ischemic heart disease,Gujarat,Male,2.39M,,2.37M,-0.98%,2.34M,-1.26%,2.36M,+0.87%,2.33M,-1.42%,2.21M,-4.92%,2.10M,-5.10%,2.17M,+3.04%,3.29M,+51.86%,2.14M,-34.83%,2.15M,+0.46%
493,Ischemic heart disease,Gujarat,Female,834.88K,,875.71K,+4.89%,869.92K,-0.66%,866.33K,-0.41%,848.76K,-2.03%,818.54K,-3.56%,786.57K,-3.91%,805.04K,+2.35%,1.17M,+45.33%,812.22K,-30.58%,816.45K,+0.52%
493,Ischemic heart disease,Haryana,Male,1.15M,,1.14M,-0.57%,1.10M,-3.84%,1.14M,+4.11%,1.09M,-4.51%,1.06M,-2.74%,949.30K,-10.59%,924.20K,-2.64%,1.16M,+25.18%,920.36K,-20.45%,932.88K,+1.36%
493,Ischemic heart disease,Haryana,Female,316.14K,,339.97K,+7.54%,323.62K,-4.81%,327.34K,+1.15%,302.77K,-7.51%,297.68K,-1.68%,266.01K,-10.64%,251.81K,-5.34%,300.74K,+19.43%,258.88K,-13.92%,265.22K,+2.45%
493,Ischemic heart disease,Himachal Pradesh,Male,230.97K,,212.16K,-8.14%,203.28K,-4.19%,210.59K,+3.59%,220.88K,+4.89%,229.09K,+3.72%,226.12K,-1.30%,216.20K,-4.38%,271.10K,+25.39%,284.74K,+5.03%,291.63K,+2.42%
493,Ischemic heart disease,Himachal Pradesh,Female,75.11K,,70.97K,-5.52%,67.55K,-4.82%,66.78K,-1.14%,66.66K,-0.18%,68.28K,+2.44%,66.87K,-2.06%,65.78K,-1.63%,82.62K,+25.60%,77.58K,-6.10%,76.59K,-1.27%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Male,323.38K,,338.07K,+4.54%,361.30K,+6.87%,401.78K,+11.20%,414.56K,+3.18%,417.67K,+0.75%,398.08K,-4.69%,360.88K,-9.34%,396.91K,+9.98%,440.06K,+10.87%,443.52K,+0.79%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Female,167.24K,,178.08K,+6.48%,187.58K,+5.33%,201.35K,+7.34%,202.95K,+0.80%,210.11K,+3.53%,205.02K,-2.42%,202.69K,-1.14%,260.08K,+28.31%,222.77K,-14.34%,225.41K,+1.19%
493,Ischemic heart disease,Jharkhand,Male,419.50K,,411.06K,-2.01%,351.76K,-14.43%,396.60K,+12.75%,385.27K,-2.86%,373.41K,-3.08%,347.74K,-6.88%,324.06K,-6.81%,449.64K,+38.75%,364.61K,-18.91%,369.44K,+1.33%
493,Ischemic heart disease,Jharkhand,Female,337.98K,,322.61K,-4.55%,324.44K,+0.57%,344.77K,+6.27%,327.74K,-4.94%,321.28K,-1.97%,296.97K,-7.57%,258.35K,-13.01%,281.42K,+8.93%,312.29K,+10.97%,310.43K,-0.59%
493,Ischemic heart disease,Karnataka,Male,2.75M,,2.75M,-0.06%,2.79M,+1.39%,2.94M,+5.45%,2.97M,+0.96%,2.89M,-2.82%,2.77M,-4.18%,2.98M,+7.57%,3.85M,+29.33%,2.96M,-23.17%,3.02M,+2.28%
493,Ischemic heart disease,Karnataka,Female,1.25M,,1.39M,+11.81%,1.47M,+5.22%,1.52M,+3.53%,1.47M,-2.94%,1.42M,-3.73%,1.31M,-7.36%,1.31M,-0.11%,1.57M,+20.03%,1.36M,-13.42%,1.40M,+2.37%
493,Ischemic heart disease,Kerala,Male,1.44M,,1.37M,-5.04%,1.30M,-5.17%,1.30M,+0.01%,1.25M,-3.37%,1.15M,-8.62%,1.01M,-11.75%,861.69K,-14.78%,994.13K,+15.37%,994.61K,+0.05%,1.01M,+1.50%
493,Ischemic heart disease,Kerala,Female,420.27K,,396.24K,-5.72%,395.28K,-0.24%,405.28K,+2.53%,400.90K,-1.08%,378.82K,-5.51%,339.63K,-10.35%,290.43K,-14.49%,300.14K,+3.35%,352.81K,+17.55%,368.68K,+4.50%
493,Ischemic heart disease,Madhya Pradesh,Male,2.09M,,2.11M,+0.95%,2.13M,+0.72%,2.24M,+5.46%,2.21M,-1.43%,2.17M,-1.74%,2.12M,-2.33%,2.09M,-1.68%,2.82M,+35.16%,2.27M,-19.47%,2.34M,+3.07%
493,Ischemic heart disease,Madhya Pradesh,Female,800.62K,,850.66K,+6.25%,855.26K,+0.54%,900.59K,+5.30%,896.79K,-0.42%,917.66K,+2.33%,909.61K,-0.88%,887.66K,-2.41%,1.14M,+28.74%,947.22K,-17.11%,969.34K,+2.34%
493,Ischemic heart disease,Maharashtra,Male,3.33M,,3.18M,-4.66%,2.95M,-7.05%,2.78M,-5.91%,2.64M,-4.87%,2.99M,+13.07%,2.23M,-25.27%,1.86M,-16.46%,2.34M,+25.42%,2.12M,-9.19%,2.23M,+5.08%
493,Ischemic heart disease,Maharashtra,Female,1.23M,,1.27M,+2.65%,1.21M,-4.65%,1.15M,-5.08%,1.02M,-11.28%,1.01M,-0.81%,791.28K,-21.56%,653.90K,-17.36%,792.02K,+21.12%,765.00K,-3.41%,799.04K,+4.45%
493,Ischemic heart disease,Manipur,Male,39.84K,,41.27K,+3.60%,43.13K,+4.50%,47.32K,+9.71%,49.32K,+4.23%,50.96K,+3.34%,49.84K,-2.20%,49.67K,-0.35%,76.91K,+54.84%,59.32K,-22.87%,62.71K,+5.72%
493,Ischemic heart disease,Manipur,Female,25.22K,,27.97K,+10.92%,29.93K,+6.98%,32.13K,+7.35%,32.83K,+2.20%,34.08K,+3.80%,33.34K,-2.17%,32.94K,-1.19%,49.64K,+50.68%,38.58K,-22.29%,40.53K,+5.06%
493,Ischemic heart disease,Meghalaya,Male,23.06K,,23.12K,+0.24%,23.36K,+1.06%,25.94K,+11.01%,27.22K,+4.94%,28.10K,+3.25%,27.54K,-2.02%,27.79K,+0.94%,45.51K,+63.76%,32.73K,-28.08%,33.98K,+3.79%
493,Ischemic heart disease,Meghalaya,Female,12.16K,,12.80K,+5.29%,13.13K,+2.57%,14.92K,+13.60%,16.00K,+7.28%,17.00K,+6.25%,16.82K,-1.06%,16.92K,+0.58%,26.67K,+57.65%,19.54K,-26.75%,20.35K,+4.14%
493,Ischemic heart disease,Mizoram,Male,4.80K,,4.70K,-1.96%,4.96K,+5.59%,5.91K,+19.13%,6.16K,+4.17%,6.22K,+0.89%,6.01K,-3.24%,6.14K,+2.12%,8.70K,+41.69%,7.20K,-17.27%,7.48K,+3.84%
493,Ischemic heart disease,Mizoram,Female,2.00K,,2.07K,+3.18%,2.19K,+5.76%,2.56K,+16.94%,2.62K,+2.39%,2.63K,+0.50%,2.50K,-4.82%,2.63K,+4.85%,3.65K,+39.02%,2.81K,-23.03%,2.84K,+1.15%
493,Ischemic heart disease,Nagaland,Male,16.88K,,16.71K,-0.98%,16.65K,-0.37%,17.33K,+4.06%,17.52K,+1.14%,17.53K,+0.01%,16.70K,-4.72%,16.73K,+0.19%,26.36K,+57.55%,18.69K,-29.07%,19.28K,+3.14%
493,Ischemic heart disease,Nagaland,Female,11.87K,,12.72K,+7.18%,13.08K,+2.83%,13.56K,+3.65%,13.74K,+1.33%,14.05K,+2.26%,13.61K,-3.13%,13.65K,+0.30%,20.50K,+50.17%,15.01K,-26.78%,15.57K,+3.74%
493,Ischemic heart disease,Odisha,Male,583.36K,,564.11K,-3.30%,554.98K,-1.62%,613.43K,+10.53%,631.82K,+3.00%,630.20K,-0.26%,613.27K,-2.69%,596.86K,-2.68%,751.51K,+25.91%,676.73K,-9.95%,687.84K,+1.64%
493,Ischemic heart disease,Odisha,Female,297.87K,,314.18K,+5.47%,324.12K,+3.16%,362.77K,+11.92%,382.41K,+5.41%,396.39K,+3.66%,392.65K,-0.94%,380.16K,-3.18%,424.03K,+11.54%,435.14K,+2.62%,437.83K,+0.62%
493,Ischemic heart disease,Other Union Territories,Male,111.62K,,115.63K,+3.60%,119.25K,+3.13%,128.60K,+7.84%,132.58K,+3.10%,133.29K,+0.54%,130.70K,-1.95%,138.36K,+5.86%,183.14K,+32.37%,148.12K,-19.12%,151.71K,+2.42%
493,Ischemic heart disease,Other Union Territories,Female,45.65K,,50.76K,+11.19%,53.29K,+4.98%,57.15K,+7.25%,58.35K,+2.11%,59.47K,+1.92%,58.49K,-1.66%,63.62K,+8.77%,85.49K,+34.39%,66.48K,-22.24%,67.58K,+1.65%
493,Ischemic heart disease,Punjab,Male,1.94M,,1.96M,+0.96%,1.97M,+0.72%,2.16M,+9.46%,2.23M,+3.35%,2.24M,+0.35%,2.15M,-4.09%,2.20M,+2.30%,2.64M,+20.10%,2.31M,-12.40%,2.29M,-1.06%
493,Ischemic heart disease,Punjab,Female,804.41K,,865.07K,+7.54%,898.12K,+3.82%,997.62K,+11.08%,1.02M,+1.99%,1.05M,+2.72%,1.02M,-2.52%,1.02M,+0.32%,1.15M,+12.49%,1.10M,-4.18%,1.10M,-0.35%
493,Ischemic heart disease,Rajasthan,Male,1.80M,,1.91M,+5.93%,1.99M,+4.58%,2.14M,+7.51%,2.19M,+2.29%,2.17M,-0.97%,2.10M,-3.11%,2.01M,-4.70%,2.39M,+19.45%,2.32M,-3.05%,2.32M,-0.29%
493,Ischemic heart disease,Rajasthan,Female,526.99K,,594.51K,+12.81%,628.33K,+5.69%,665.15K,+5.86%,663.01K,-0.32%,662.93K,-0.01%,633.10K,-4.50%,585.52K,-7.52%,675.85K,+15.43%,663.30K,-1.86%,663.63K,+0.05%
493,Ischemic heart disease,Sikkim,Male,13.27K,,13.35K,+0.56%,13.13K,-1.63%,13.29K,+1.22%,12.65K,-4.85%,11.68K,-7.64%,10.30K,-11.81%,9.37K,-9.00%,11.71K,+24.96%,11.82K,+0.90%,12.22K,+3.35%
493,Ischemic heart disease,Sikkim,Female,5.62K,,5.79K,+3.09%,5.60K,-3.40%,5.45K,-2.62%,5.10K,-6.36%,4.79K,-6.01%,4.33K,-9.79%,4.27K,-1.21%,5.71K,+33.72%,5.10K,-10.76%,5.16K,+1.27%
493,Ischemic heart disease,Tamil Nadu,Male,4.24M,,4.17M,-1.80%,3.95M,-5.14%,3.94M,-0.32%,3.75M,-4.90%,3.44M,-8.30%,3.03M,-11.90%,2.98M,-1.68%,3.46M,+16.11%,2.84M,-17.81%,2.88M,+1.54%
493,Ischemic heart disease,Tamil Nadu,Female,1.62M,,1.65M,+1.92%,1.55M,-6.08%,1.48M,-4.36%,1.35M,-8.98%,1.19M,-11.45%,1.02M,-14.42%,974.45K,-4.51%,1.06M,+8.61%,937.32K,-11.44%,978.76K,+4.42%
493,Ischemic heart disease,Telangana,Male,2.39M,,2.42M,+1.26%,2.45M,+1.15%,2.66M,+8.60%,2.77M,+4.04%,2.82M,+2.00%,2.84M,+0.74%,2.84M,-0.10%,3.54M,+24.56%,3.01M,-15.00%,2.96M,-1.59%
493,Ischemic heart disease,Telangana,Female,1.31M,,1.38M,+5.65%,1.38M,-0.12%,1.46M,+5.46%,1.46M,+0.34%,1.44M,-1.72%,1.36M,-5.40%,1.24M,-8.93%,1.28M,+3.07%,1.41M,+10.66%,1.38M,-2.52%
493,Ischemic heart disease,Tripura,Male,83.47K,,73.43K,-12.03%,77.26K,+5.23%,93.45K,+20.95%,96.13K,+2.87%,94.22K,-1.99%,91.69K,-2.68%,91.67K,-0.02%,108.93K,+18.83%,107.07K,-1.71%,113.26K,+5.78%
493,Ischemic heart disease,Tripura,Female,43.14K,,37.50K,-13.09%,40.78K,+8.76%,52.15K,+27.88%,54.11K,+3.75%,53.08K,-1.90%,52.17K,-1.72%,51.87K,-0.56%,58.43K,+12.63%,59.73K,+2.24%,63.34K,+6.04%
