Cause ID,Cause Name,State,Gender,2013 Deaths,2013 Deaths YoY %,2014 Deaths,2014 Deaths YoY %,2015 Deaths,2015 Deaths YoY %,2016 Deaths,2016 Deaths YoY %,2017 Deaths,2017 Deaths YoY %,2018 Deaths,2018 Deaths YoY %,2019 Deaths,2019 Deaths YoY %,2020 Deaths,2020 Deaths YoY %,2021 Deaths,2021 Deaths YoY %,2022 Deaths,2022 Deaths YoY %,2023 Deaths,2023 Deaths YoY %
493,Ischemic heart disease,Andhra Pradesh,Male,77.65K,,77.39K,-0.33%,77.50K,+0.14%,82.11K,+5.95%,83.72K,+1.95%,79.75K,-4.74%,74.53K,-6.55%,74.85K,+0.43%,94.39K,+26.10%,78.48K,-16.85%,78.78K,+0.39%
493,Ischemic heart disease,Andhra Pradesh,Female,46.18K,,49.01K,+6.14%,49.77K,+1.55%,50.81K,+2.09%,50.45K,-0.72%,49.09K,-2.70%,45.58K,-7.14%,45.39K,-0.42%,48.89K,+7.71%,47.92K,-1.98%,47.78K,-0.31%
493,Ischemic heart disease,Arunachal Pradesh,Male,376.21,,382.26,+1.61%,396.26,+3.66%,429.58,+8.41%,446.39,+3.92%,451.09,+1.05%,443.35,-1.72%,448.73,+1.21%,580.95,+29.47%,500.14,-13.91%,549.66,+9.90%
493,Ischemic heart disease,Arunachal Pradesh,Female,143.42,,153.60,+7.09%,160.91,+4.76%,170.80,+6.14%,175.01,+2.46%,178.54,+2.02%,175.25,-1.84%,176.10,+0.49%,219.81,+24.82%,191.51,-12.87%,209.06,+9.16%
493,Ischemic heart disease,Assam,Male,13.23K,,13.01K,-1.69%,13.20K,+1.45%,14.36K,+8.84%,15.15K,+5.50%,15.68K,+3.51%,15.64K,-0.26%,15.83K,+1.23%,20.79K,+31.30%,18.37K,-11.63%,19.23K,+4.67%
493,Ischemic heart disease,Assam,Female,6.87K,,7.48K,+8.86%,7.96K,+6.44%,8.63K,+8.45%,9.01K,+4.34%,9.34K,+3.67%,8.99K,-3.66%,8.23K,-8.49%,8.45K,+2.62%,9.92K,+17.44%,10.41K,+4.95%
493,Ischemic heart disease,Bihar,Male,57.57K,,56.17K,-2.44%,54.14K,-3.62%,59.56K,+10.02%,58.90K,-1.12%,59.88K,+1.67%,58.17K,-2.86%,54.18K,-6.86%,73.45K,+35.56%,61.91K,-15.70%,65.46K,+5.72%
493,Ischemic heart disease,Bihar,Female,39.60K,,43.61K,+10.14%,43.69K,+0.17%,47.99K,+9.84%,46.65K,-2.78%,49.22K,+5.49%,47.49K,-3.52%,42.91K,-9.64%,49.22K,+14.72%,49.35K,+0.26%,51.16K,+3.66%
493,Ischemic heart disease,Chhattisgarh,Male,20.93K,,21.10K,+0.79%,21.74K,+3.03%,24.70K,+13.62%,25.68K,+3.97%,25.54K,-0.56%,25.38K,-0.60%,25.09K,-1.16%,35.77K,+42.57%,28.49K,-20.34%,28.62K,+0.43%
493,Ischemic heart disease,Chhattisgarh,Female,10.93K,,12.07K,+10.42%,12.79K,+5.93%,14.50K,+13.39%,15.18K,+4.73%,16.03K,+5.55%,16.22K,+1.21%,15.47K,-4.61%,20.97K,+35.56%,17.58K,-16.19%,17.20K,-2.13%
