Cause ID,Cause Name,State,Gender,2013 YLDs,2013 YLDs YoY %,2014 YLDs,2014 YLDs YoY %,2015 YLDs,2015 YLDs YoY %,2016 YLDs,2016 YLDs YoY %,2017 YLDs,2017 YLDs YoY %,2018 YLDs,2018 YLDs YoY %,2019 YLDs,2019 YLDs YoY %,2020 YLDs,2020 YLDs YoY %,2021 YLDs,2021 YLDs YoY %,2022 YLDs,2022 YLDs YoY %,2023 YLDs,2023 YLDs YoY %
493,Ischemic heart disease,Andhra Pradesh,Male,68.34K,,67.25K,-1.60%,66.24K,-1.50%,65.69K,-0.83%,64.74K,-1.44%,63.79K,-1.47%,63.25K,-0.84%,63.08K,-0.27%,63.05K,-0.05%,63.69K,+1.01%,65.16K,+2.31%
493,Ischemic heart disease,Andhra Pradesh,Female,42.09K,,41.43K,-1.56%,40.74K,-1.67%,40.18K,-1.37%,39.06K,-2.80%,38.01K,-2.68%,37.37K,-1.70%,37.03K,-0.89%,37.19K,+0.43%,37.55K,+0.96%,38.25K,+1.88%
493,Ischemic heart disease,Arunachal Pradesh,Male,1.02K,,1.01K,-0.41%,1.01K,-0.38%,1.00K,-0.60%,987.34,-1.74%,973.25,-1.43%,966.73,-0.67%,977.88,+1.15%,1.00K,+2.32%,1.02K,+1.99%,1.05K,+3.14%
493,Ischemic heart disease,Arunachal Pradesh,Female,539.70,,535.07,-0.86%,530.60,-0.84%,521.82,-1.65%,502.86,-3.63%,485.82,-3.39%,473.57,-2.52%,476.39,+0.59%,490.10,+2.88%,507.42,+3.53%,526.76,+3.81%
493,Ischemic heart disease,Assam,Male,25.90K,,25.66K,-0.93%,25.48K,-0.71%,25.18K,-1.16%,24.69K,-1.95%,24.19K,-2.03%,23.88K,-1.28%,23.92K,+0.18%,24.32K,+1.66%,24.69K,+1.52%,25.33K,+2.58%
493,Ischemic heart disease,Assam,Female,16.42K,,16.16K,-1.59%,15.95K,-1.28%,15.62K,-2.04%,15.03K,-3.82%,14.50K,-3.53%,14.10K,-2.73%,14.01K,-0.67%,14.22K,+1.55%,14.47K,+1.77%,15.01K,+3.70%
493,Ischemic heart disease,Bihar,Male,81.95K,,80.19K,-2.15%,78.95K,-1.54%,77.86K,-1.39%,76.39K,-1.89%,75.31K,-1.41%,74.50K,-1.06%,75.00K,+0.67%,75.60K,+0.80%,76.89K,+1.70%,78.96K,+2.69%
493,Ischemic heart disease,Bihar,Female,55.33K,,54.19K,-2.05%,53.29K,-1.66%,52.32K,-1.82%,51.01K,-2.50%,49.61K,-2.75%,48.50K,-2.23%,48.14K,-0.75%,47.86K,-0.59%,48.43K,+1.19%,49.78K,+2.79%
493,Ischemic heart disease,Chhattisgarh,Male,24.12K,,24.03K,-0.38%,24.08K,+0.20%,24.24K,+0.68%,24.28K,+0.17%,24.33K,+0.21%,24.58K,+1.02%,24.89K,+1.27%,25.19K,+1.21%,25.63K,+1.74%,26.48K,+3.29%
493,Ischemic heart disease,Chhattisgarh,Female,16.20K,,16.13K,-0.48%,16.09K,-0.26%,15.95K,-0.82%,15.64K,-1.94%,15.29K,-2.24%,15.01K,-1.84%,15.05K,+0.22%,15.08K,+0.21%,15.29K,+1.38%,15.84K,+3.60%
493,Ischemic heart disease,Delhi,Male,22.34K,,21.92K,-1.88%,21.75K,-0.77%,21.75K,-0.02%,21.73K,-0.07%,21.65K,-0.37%,21.78K,+0.61%,22.05K,+1.22%,22.36K,+1.41%,22.79K,+1.90%,23.28K,+2.18%
493,Ischemic heart disease,Delhi,Female,12.79K,,12.58K,-1.64%,12.52K,-0.52%,12.54K,+0.20%,12.52K,-0.15%,12.41K,-0.89%,12.45K,+0.31%,12.49K,+0.36%,12.59K,+0.76%,12.78K,+1.52%,13.19K,+3.23%
493,Ischemic heart disease,Goa,Male,1.79K,,1.77K,-1.45%,1.74K,-1.26%,1.72K,-1.32%,1.69K,-1.52%,1.67K,-1.55%,1.65K,-1.15%,1.64K,-0.43%,1.64K,-0.43%,1.64K,+0.08%,1.65K,+0.53%
493,Ischemic heart disease,Goa,Female,1.22K,,1.19K,-1.85%,1.18K,-1.51%,1.15K,-1.76%,1.13K,-2.17%,1.10K,-2.82%,1.08K,-1.71%,1.07K,-1.24%,1.06K,-0.63%,1.06K,-0.10%,1.08K,+2.13%
493,Ischemic heart disease,Gujarat,Male,79.80K,,78.21K,-2.00%,77.17K,-1.33%,75.86K,-1.69%,74.18K,-2.22%,72.31K,-2.51%,70.83K,-2.06%,70.33K,-0.70%,69.92K,-0.59%,70.46K,+0.77%,72.19K,+2.46%
493,Ischemic heart disease,Gujarat,Female,42.52K,,42.05K,-1.11%,41.52K,-1.25%,40.92K,-1.44%,39.75K,-2.88%,38.56K,-2.99%,37.70K,-2.22%,37.50K,-0.53%,37.74K,+0.63%,38.26K,+1.38%,39.40K,+2.98%
493,Ischemic heart disease,Haryana,Male,36.23K,,35.43K,-2.21%,34.68K,-2.10%,34.13K,-1.60%,33.34K,-2.31%,32.49K,-2.54%,31.79K,-2.15%,31.27K,-1.66%,30.73K,-1.71%,30.58K,-0.50%,31.34K,+2.49%
493,Ischemic heart disease,Haryana,Female,17.31K,,17.23K,-0.41%,17.08K,-0.88%,16.91K,-0.99%,16.53K,-2.25%,16.11K,-2.54%,15.78K,-2.08%,15.66K,-0.74%,15.52K,-0.88%,15.67K,+0.93%,16.25K,+3.70%
493,Ischemic heart disease,Himachal Pradesh,Male,10.02K,,10.01K,-0.14%,10.02K,+0.10%,10.00K,-0.13%,9.96K,-0.39%,9.91K,-0.58%,9.85K,-0.52%,9.91K,+0.58%,9.94K,+0.32%,10.01K,+0.71%,10.21K,+1.96%
493,Ischemic heart disease,Himachal Pradesh,Female,5.25K,,5.14K,-2.17%,5.05K,-1.73%,4.93K,-2.33%,4.76K,-3.33%,4.61K,-3.23%,4.48K,-2.82%,4.47K,-0.31%,4.54K,+1.60%,4.62K,+1.71%,4.75K,+2.88%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Male,14.96K,,14.94K,-0.13%,14.93K,-0.09%,14.96K,+0.21%,14.94K,-0.15%,14.98K,+0.27%,15.01K,+0.17%,15.08K,+0.51%,15.19K,+0.69%,15.40K,+1.39%,15.77K,+2.40%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Female,9.50K,,9.44K,-0.66%,9.42K,-0.21%,9.35K,-0.71%,9.22K,-1.35%,9.10K,-1.35%,8.99K,-1.24%,8.95K,-0.45%,8.94K,-0.04%,8.99K,+0.57%,9.28K,+3.21%
493,Ischemic heart disease,Jharkhand,Male,23.08K,,21.78K,-5.61%,20.81K,-4.44%,19.90K,-4.39%,18.85K,-5.29%,17.81K,-5.50%,17.00K,-4.57%,16.55K,-2.59%,16.27K,-1.74%,16.34K,+0.46%,16.74K,+2.46%
493,Ischemic heart disease,Jharkhand,Female,17.29K,,16.60K,-4.01%,16.03K,-3.45%,15.61K,-2.59%,14.95K,-4.25%,14.29K,-4.40%,13.79K,-3.46%,13.54K,-1.86%,13.36K,-1.33%,13.34K,-0.14%,13.81K,+3.56%
493,Ischemic heart disease,Karnataka,Male,80.79K,,79.63K,-1.44%,78.93K,-0.88%,78.18K,-0.96%,77.16K,-1.29%,76.25K,-1.18%,75.31K,-1.24%,75.18K,-0.17%,75.02K,-0.22%,75.37K,+0.47%,76.61K,+1.65%
493,Ischemic heart disease,Karnataka,Female,49.42K,,49.61K,+0.38%,49.52K,-0.18%,49.42K,-0.21%,49.01K,-0.82%,48.38K,-1.28%,47.96K,-0.88%,47.92K,-0.07%,47.94K,+0.03%,48.44K,+1.04%,49.70K,+2.61%
493,Ischemic heart disease,Kerala,Male,69.06K,,67.23K,-2.65%,65.51K,-2.56%,63.48K,-3.10%,60.62K,-4.51%,57.65K,-4.90%,55.30K,-4.08%,54.20K,-1.99%,53.77K,-0.79%,53.67K,-0.18%,53.80K,+0.25%
493,Ischemic heart disease,Kerala,Female,32.44K,,32.20K,-0.74%,31.92K,-0.86%,31.46K,-1.43%,30.65K,-2.60%,29.63K,-3.31%,28.81K,-2.77%,28.63K,-0.64%,28.76K,+0.47%,29.10K,+1.17%,29.51K,+1.43%
493,Ischemic heart disease,Madhya Pradesh,Male,77.11K,,76.64K,-0.61%,76.98K,+0.45%,77.72K,+0.97%,78.61K,+1.14%,79.58K,+1.23%,80.68K,+1.39%,82.03K,+1.67%,83.10K,+1.31%,84.53K,+1.72%,86.94K,+2.85%
493,Ischemic heart disease,Madhya Pradesh,Female,42.82K,,42.30K,-1.22%,42.08K,-0.51%,41.80K,-0.67%,41.42K,-0.91%,41.11K,-0.75%,41.06K,-0.13%,41.42K,+0.88%,41.73K,+0.75%,42.75K,+2.45%,44.26K,+3.52%
493,Ischemic heart disease,Maharashtra,Male,117.91K,,114.14K,-3.20%,111.09K,-2.67%,108.42K,-2.40%,105.22K,-2.96%,101.83K,-3.22%,99.19K,-2.60%,98.85K,-0.35%,99.01K,+0.16%,100.32K,+1.32%,103.03K,+2.70%
493,Ischemic heart disease,Maharashtra,Female,69.42K,,68.84K,-0.83%,68.03K,-1.18%,66.94K,-1.60%,65.25K,-2.52%,63.43K,-2.79%,62.09K,-2.11%,61.60K,-0.80%,62.00K,+0.66%,63.01K,+1.63%,65.13K,+3.36%
493,Ischemic heart disease,Manipur,Male,2.55K,,2.56K,+0.51%,2.57K,+0.60%,2.58K,+0.36%,2.55K,-1.25%,2.53K,-0.97%,2.51K,-0.49%,2.56K,+1.62%,2.60K,+1.63%,2.66K,+2.25%,2.75K,+3.68%
493,Ischemic heart disease,Manipur,Female,1.83K,,1.82K,-0.46%,1.82K,+0.21%,1.82K,-0.35%,1.78K,-2.14%,1.74K,-2.08%,1.72K,-1.35%,1.72K,+0.52%,1.76K,+1.84%,1.79K,+1.98%,1.87K,+4.38%
493,Ischemic heart disease,Meghalaya,Male,1.85K,,1.85K,+0.01%,1.86K,+0.35%,1.86K,-0.05%,1.84K,-1.13%,1.80K,-1.99%,1.79K,-0.39%,1.82K,+1.46%,1.86K,+2.28%,1.91K,+2.40%,1.98K,+3.59%
493,Ischemic heart disease,Meghalaya,Female,1.19K,,1.20K,+0.26%,1.20K,+0.05%,1.19K,-0.31%,1.17K,-2.06%,1.14K,-2.54%,1.12K,-1.58%,1.14K,+1.56%,1.17K,+2.71%,1.21K,+3.07%,1.26K,+4.33%
493,Ischemic heart disease,Mizoram,Male,684.79,,687.16,+0.35%,689.51,+0.34%,683.76,-0.83%,671.48,-1.80%,656.75,-2.19%,651.77,-0.76%,658.30,+1.00%,679.74,+3.26%,702.95,+3.41%,723.92,+2.98%
493,Ischemic heart disease,Mizoram,Female,414.61,,415.35,+0.18%,414.72,-0.15%,405.30,-2.27%,390.17,-3.73%,374.50,-4.02%,364.48,-2.68%,366.71,+0.61%,383.89,+4.69%,397.21,+3.47%,414.57,+4.37%
493,Ischemic heart disease,Nagaland,Male,1.42K,,1.36K,-3.88%,1.32K,-3.22%,1.27K,-3.71%,1.22K,-4.09%,1.17K,-4.13%,1.13K,-3.22%,1.11K,-1.77%,1.11K,-0.27%,1.11K,+0.25%,1.12K,+1.14%
493,Ischemic heart disease,Nagaland,Female,948.47,,914.58,-3.57%,882.96,-3.46%,848.51,-3.90%,808.06,-4.77%,771.59,-4.51%,741.64,-3.88%,726.79,-2.00%,721.00,-0.80%,719.25,-0.24%,734.59,+2.13%
493,Ischemic heart disease,Odisha,Male,32.08K,,31.49K,-1.81%,31.26K,-0.75%,30.92K,-1.09%,30.38K,-1.73%,30.05K,-1.08%,29.90K,-0.52%,30.06K,+0.54%,30.49K,+1.42%,31.07K,+1.90%,31.76K,+2.24%
493,Ischemic heart disease,Odisha,Female,20.24K,,19.98K,-1.27%,19.78K,-1.02%,19.61K,-0.88%,19.17K,-2.20%,18.73K,-2.34%,18.50K,-1.19%,18.66K,+0.84%,19.08K,+2.26%,19.51K,+2.23%,20.02K,+2.62%
493,Ischemic heart disease,Other Union Territories,Male,3.95K,,3.93K,-0.43%,3.94K,+0.21%,3.95K,+0.42%,3.95K,+0.02%,3.97K,+0.32%,3.99K,+0.54%,4.03K,+1.15%,4.06K,+0.55%,4.10K,+1.07%,4.18K,+2.02%
493,Ischemic heart disease,Other Union Territories,Female,2.22K,,2.21K,-0.71%,2.21K,+0.11%,2.20K,-0.57%,2.19K,-0.55%,2.17K,-0.90%,2.16K,-0.39%,2.16K,+0.24%,2.18K,+0.67%,2.20K,+1.07%,2.27K,+3.33%
493,Ischemic heart disease,Punjab,Male,46.70K,,46.19K,-1.09%,45.92K,-0.59%,45.94K,+0.04%,45.88K,-0.13%,45.70K,-0.39%,45.59K,-0.23%,45.52K,-0.17%,44.62K,-1.98%,44.25K,-0.82%,44.87K,+1.40%
493,Ischemic heart disease,Punjab,Female,29.00K,,28.96K,-0.15%,28.93K,-0.09%,28.92K,-0.05%,28.77K,-0.51%,28.68K,-0.30%,28.54K,-0.48%,28.42K,-0.42%,27.93K,-1.72%,27.78K,-0.54%,28.53K,+2.70%
493,Ischemic heart disease,Rajasthan,Male,79.13K,,79.75K,+0.78%,80.68K,+1.16%,81.77K,+1.35%,82.48K,+0.87%,83.30K,+1.00%,84.04K,+0.89%,85.66K,+1.93%,87.54K,+2.20%,90.01K,+2.82%,91.82K,+2.01%
493,Ischemic heart disease,Rajasthan,Female,41.16K,,41.76K,+1.45%,42.46K,+1.68%,42.77K,+0.73%,42.68K,-0.20%,42.45K,-0.56%,42.58K,+0.31%,43.37K,+1.86%,44.63K,+2.91%,46.28K,+3.68%,47.82K,+3.35%
