Cause ID,Cause Name,State,Gender,2013 YLLs,2013 YLLs YoY %,2014 YLLs,2014 YLLs YoY %,2015 YLLs,2015 YLLs YoY %,2016 YLLs,2016 YLLs YoY %,2017 YLLs,2017 YLLs YoY %,2018 YLLs,2018 YLLs YoY %,2019 YLLs,2019 YLLs YoY %,2020 YLLs,2020 YLLs YoY %,2021 YLLs,2021 YLLs YoY %,2022 YLLs,2022 YLLs YoY %,2023 YLLs,2023 YLLs YoY %
493,Ischemic heart disease,Andhra Pradesh,Male,3.10M,,3.09M,-0.23%,3.09M,+0.14%,3.24M,+4.91%,3.28M,+0.94%,3.10M,-5.20%,2.90M,-6.66%,2.92M,+0.78%,3.71M,+27.15%,3.05M,-17.76%,3.08M,+0.79%
493,Ischemic heart disease,Andhra Pradesh,Female,1.64M,,1.74M,+6.38%,1.76M,+1.13%,1.78M,+1.13%,1.75M,-1.88%,1.68M,-3.69%,1.55M,-8.06%,1.53M,-1.05%,1.64M,+6.89%,1.64M,+0.16%,1.64M,-0.18%
493,Ischemic heart disease,Arunachal Pradesh,Male,16.46K,,16.79K,+1.96%,17.37K,+3.48%,18.65K,+7.38%,19.25K,+3.23%,19.44K,+0.97%,19.08K,-1.82%,19.35K,+1.37%,25.08K,+29.65%,21.43K,-14.58%,23.39K,+9.16%
493,Ischemic heart disease,Arunachal Pradesh,Female,5.80K,,6.28K,+8.37%,6.62K,+5.43%,7.04K,+6.30%,7.25K,+2.92%,7.42K,+2.38%,7.28K,-1.83%,7.30K,+0.24%,9.15K,+25.38%,7.96K,-13.02%,8.59K,+7.91%
493,Ischemic heart disease,Assam,Male,544.43K,,534.10K,-1.90%,534.36K,+0.05%,567.32K,+6.17%,585.96K,+3.29%,597.64K,+1.99%,588.22K,-1.58%,591.74K,+0.60%,784.46K,+32.57%,683.03K,-12.93%,719.84K,+5.39%
493,Ischemic heart disease,Assam,Female,270.60K,,296.20K,+9.46%,314.70K,+6.25%,336.54K,+6.94%,346.87K,+3.07%,356.95K,+2.91%,340.60K,-4.58%,309.12K,-9.24%,318.40K,+3.00%,373.69K,+17.37%,392.67K,+5.08%
493,Ischemic heart disease,Bihar,Male,2.14M,,2.10M,-2.15%,2.01M,-4.12%,2.18M,+8.38%,2.12M,-2.58%,2.14M,+0.96%,2.08M,-3.02%,1.93M,-7.09%,2.67M,+38.22%,2.24M,-16.16%,2.38M,+6.37%
493,Ischemic heart disease,Bihar,Female,1.41M,,1.55M,+9.83%,1.55M,-0.34%,1.68M,+8.77%,1.62M,-3.83%,1.70M,+4.87%,1.63M,-3.94%,1.47M,-9.68%,1.72M,+16.82%,1.71M,-0.50%,1.79M,+4.39%
493,Ischemic heart disease,Chhattisgarh,Male,873.04K,,881.73K,+1.00%,900.30K,+2.11%,1.00M,+11.31%,1.03M,+2.63%,1.02M,-0.65%,1.01M,-1.21%,987.39K,-2.18%,1.42M,+43.33%,1.13M,-20.15%,1.14M,+0.51%
493,Ischemic heart disease,Chhattisgarh,Female,428.15K,,478.06K,+11.66%,510.35K,+6.75%,577.45K,+13.15%,601.47K,+4.16%,633.45K,+5.32%,637.18K,+0.59%,601.45K,-5.61%,814.26K,+35.38%,687.38K,-15.58%,669.97K,-2.53%
493,Ischemic heart disease,Delhi,Male,676.49K,,666.72K,-1.44%,640.06K,-4.00%,641.66K,+0.25%,582.19K,-9.27%,555.17K,-4.64%,489.31K,-11.86%,590.71K,+20.72%,768.49K,+30.10%,527.30K,-31.39%,540.66K,+2.53%
493,Ischemic heart disease,Delhi,Female,295.06K,,311.81K,+5.68%,298.25K,-4.35%,303.61K,+1.80%,276.62K,-8.89%,270.02K,-2.39%,238.39K,-11.71%,287.06K,+20.41%,355.87K,+23.97%,265.86K,-25.29%,267.79K,+0.72%
493,Ischemic heart disease,Goa,Male,95.91K,,97.79K,+1.96%,98.43K,+0.66%,100.47K,+2.07%,99.66K,-0.80%,97.68K,-1.99%,92.67K,-5.13%,93.90K,+1.32%,123.78K,+31.83%,100.07K,-19.16%,100.90K,+0.83%
493,Ischemic heart disease,Goa,Female,26.86K,,28.60K,+6.50%,29.27K,+2.31%,29.01K,-0.87%,28.28K,-2.52%,28.09K,-0.67%,26.69K,-4.98%,25.83K,-3.23%,30.56K,+18.34%,27.80K,-9.03%,28.42K,+2.22%
493,Ischemic heart disease,Gujarat,Male,2.94M,,2.90M,-1.35%,2.86M,-1.52%,2.88M,+0.81%,2.83M,-1.70%,2.68M,-5.23%,2.54M,-5.38%,2.61M,+2.92%,3.99M,+52.90%,2.58M,-35.35%,2.59M,+0.49%
493,Ischemic heart disease,Gujarat,Female,994.71K,,1.04M,+4.73%,1.03M,-0.86%,1.03M,-0.34%,1.01M,-2.21%,967.32K,-3.89%,926.05K,-4.27%,944.45K,+1.99%,1.38M,+46.19%,951.91K,-31.05%,955.74K,+0.40%
493,Ischemic heart disease,Haryana,Male,1.37M,,1.36M,-0.82%,1.31M,-3.95%,1.36M,+4.01%,1.29M,-4.77%,1.26M,-2.92%,1.12M,-10.99%,1.09M,-2.73%,1.37M,+25.84%,1.08M,-20.98%,1.10M,+1.44%
493,Ischemic heart disease,Haryana,Female,370.02K,,397.80K,+7.51%,377.63K,-5.07%,381.17K,+0.94%,350.83K,-7.96%,344.38K,-1.84%,305.28K,-11.35%,287.29K,-5.89%,344.85K,+20.03%,294.97K,-14.46%,302.18K,+2.44%
493,Ischemic heart disease,Himachal Pradesh,Male,274.57K,,251.11K,-8.54%,239.89K,-4.47%,248.39K,+3.54%,260.56K,+4.90%,270.30K,+3.74%,266.48K,-1.42%,254.38K,-4.54%,320.57K,+26.02%,337.27K,+5.21%,344.78K,+2.23%
493,Ischemic heart disease,Himachal Pradesh,Female,86.85K,,81.82K,-5.79%,77.62K,-5.13%,76.65K,-1.26%,76.48K,-0.22%,78.45K,+2.58%,76.70K,-2.23%,75.20K,-1.95%,94.93K,+26.23%,89.01K,-6.24%,87.78K,-1.38%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Male,384.68K,,401.24K,+4.31%,428.09K,+6.69%,475.76K,+11.14%,489.91K,+2.97%,492.51K,+0.53%,467.85K,-5.01%,421.64K,-9.88%,463.52K,+9.93%,516.61K,+11.45%,520.05K,+0.67%
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Female,196.43K,,209.51K,+6.66%,221.05K,+5.51%,237.44K,+7.42%,238.81K,+0.58%,246.80K,+3.34%,239.89K,-2.80%,236.38K,-1.46%,304.18K,+28.68%,260.27K,-14.44%,262.91K,+1.01%
493,Ischemic heart disease,Jharkhand,Male,507.16K,,497.29K,-1.95%,424.41K,-14.66%,480.04K,+13.11%,465.63K,-3.00%,450.15K,-3.32%,417.71K,-7.21%,388.65K,-6.96%,544.04K,+39.98%,437.28K,-19.62%,442.47K,+1.19%
