Cause ID,Cause Name,State,Gender,2013 DALYs,2013 DALYs YoY %,2013 Deaths,2013 Deaths YoY %,2013 YLDs,2013 YLDs YoY %,2013 YLLs,2013 YLLs YoY %,2014 DALYs,2014 DALYs YoY %,2014 Deaths,2014 Deaths YoY %,2014 YLDs,2014 YLDs YoY %,2014 YLLs,2014 YLLs YoY %,2015 DALYs,2015 DALYs YoY %,2015 Deaths,2015 Deaths YoY %,2015 YLDs,2015 YLDs YoY %,2015 YLLs,2015 YLLs YoY %,2016 DALYs,2016 DALYs YoY %,2016 Deaths,2016 Deaths YoY %,2016 YLDs,2016 YLDs YoY %,2016 YLLs,2016 YLLs YoY %,2017 DALYs,2017 DALYs YoY %,2017 Deaths,2017 Deaths YoY %,2017 YLDs,2017 YLDs YoY %,2017 YLLs,2017 YLLs YoY %,2018 DALYs,2018 DALYs YoY %,2018 Deaths,2018 Deaths YoY %,2018 YLDs,2018 YLDs YoY %,2018 YLLs,2018 YLLs YoY %,2019 DALYs,2019 DALYs YoY %,2019 Deaths,2019 Deaths YoY %,2019 YLDs,2019 YLDs YoY %,2019 YLLs,2019 YLLs YoY %,2020 DALYs,2020 DALYs YoY %,2020 Deaths,2020 Deaths YoY %,2020 YLDs,2020 YLDs YoY %,2020 YLLs,2020 YLLs YoY %,2021 DALYs,2021 DALYs YoY %,2021 Deaths,2021 Deaths YoY %,2021 YLDs,2021 YLDs YoY %,2021 YLLs,2021 YLLs YoY %,2022 DALYs,2022 DALYs YoY %,2022 Deaths,2022 Deaths YoY %,2022 YLDs,2022 YLDs YoY %,2022 YLLs,2022 YLLs YoY %,2023 DALYs,2023 DALYs YoY %,2023 Deaths,2023 Deaths YoY %,2023 YLDs,2023 YLDs YoY %,2023 YLLs,2023 YLLs YoY %
493,Ischemic heart disease,Andhra Pradesh,Male,2.55M,,77.65K,,68.34K,,3.10M,,2.55M,-0.07%,77.39K,-0.33%,67.25K,-1.60%,3.09M,-0.23%,2.56M,+0.33%,77.50K,+0.14%,66.24K,-1.50%,3.09M,+0.14%,2.68M,+4.90%,82.11K,+5.95%,65.69K,-0.83%,3.24M,+4.91%,2.71M,+1.03%,83.72K,+1.95%,64.74K,-1.44%,3.28M,+0.94%,2.57M,-4.98%,79.75K,-4.74%,63.79K,-1.47%,3.10M,-5.20%,2.41M,-6.41%,74.53K,-6.55%,63.25K,-0.84%,2.90M,-6.66%,2.43M,+0.75%,74.85K,+0.43%,63.08K,-0.27%,2.92M,+0.78%,3.08M,+26.84%,94.39K,+26.10%,63.05K,-0.05%,3.71M,+27.15%,2.54M,-17.50%,78.48K,-16.85%,63.69K,+1.01%,3.05M,-17.76%,2.56M,+0.94%,78.78K,+0.39%,65.16K,+2.31%,3.08M,+0.79%
493,Ischemic heart disease,Andhra Pradesh,Female,1.39M,,46.18K,,42.09K,,1.64M,,1.48M,+6.22%,49.01K,+6.14%,41.43K,-1.56%,1.74M,+6.38%,1.50M,+1.10%,49.77K,+1.55%,40.74K,-1.67%,1.76M,+1.13%,1.52M,+1.21%,50.81K,+2.09%,40.18K,-1.37%,1.78M,+1.13%,1.49M,-1.67%,50.45K,-0.72%,39.06K,-2.80%,1.75M,-1.88%,1.44M,-3.49%,49.09K,-2.70%,38.01K,-2.68%,1.68M,-3.69%,1.33M,-7.72%,45.58K,-7.14%,37.37K,-1.70%,1.55M,-8.06%,1.32M,-0.82%,45.39K,-0.42%,37.03K,-0.89%,1.53M,-1.05%,1.41M,+6.97%,48.89K,+7.71%,37.19K,+0.43%,1.64M,+6.89%,1.41M,-0.04%,47.92K,-1.98%,37.55K,+0.96%,1.64M,+0.16%,1.41M,-0.01%,47.78K,-0.31%,38.25K,+1.88%,1.64M,-0.18%
493,Ischemic heart disease,Arunachal Pradesh,Male,13.63K,,376.21,,1.02K,,16.46K,,13.90K,+1.96%,382.26,+1.61%,1.01K,-0.41%,16.79K,+1.96%,14.38K,+3.49%,396.26,+3.66%,1.01K,-0.38%,17.37K,+3.48%,15.42K,+7.19%,429.58,+8.41%,1.00K,-0.60%,18.65K,+7.38%,15.90K,+3.12%,446.39,+3.92%,987.34,-1.74%,19.25K,+3.23%,16.08K,+1.14%,451.09,+1.05%,973.25,-1.43%,19.44K,+0.97%,15.80K,-1.70%,443.35,-1.72%,966.73,-0.67%,19.08K,-1.82%,16.03K,+1.43%,448.73,+1.21%,977.88,+1.15%,19.35K,+1.37%,20.67K,+28.93%,580.95,+29.47%,1.00K,+2.32%,25.08K,+29.65%,17.53K,-15.18%,500.14,-13.91%,1.02K,+1.99%,21.43K,-14.58%,19.41K,+10.73%,549.66,+9.90%,1.05K,+3.14%,23.39K,+9.16%
493,Ischemic heart disease,Arunachal Pradesh,Female,4.96K,,143.42,,539.70,,5.80K,,5.35K,+7.80%,153.60,+7.09%,535.07,-0.86%,6.28K,+8.37%,5.63K,+5.16%,160.91,+4.76%,530.60,-0.84%,6.62K,+5.43%,5.96K,+5.92%,170.80,+6.14%,521.82,-1.65%,7.04K,+6.30%,6.11K,+2.53%,175.01,+2.46%,502.86,-3.63%,7.25K,+2.92%,6.25K,+2.19%,178.54,+2.02%,485.82,-3.39%,7.42K,+2.38%,6.13K,-1.78%,175.25,-1.84%,473.57,-2.52%,7.28K,-1.83%,6.16K,+0.39%,176.10,+0.49%,476.39,+0.59%,7.30K,+0.24%,7.66K,+24.38%,219.81,+24.82%,490.10,+2.88%,9.15K,+25.38%,6.63K,-13.46%,191.51,-12.87%,507.42,+3.53%,7.96K,-13.02%,7.26K,+9.52%,209.06,+9.16%,526.76,+3.81%,8.59K,+7.91%
493,Ischemic heart disease,Assam,Male,446.13K,,13.23K,,25.90K,,544.43K,,438.96K,-1.61%,13.01K,-1.69%,25.66K,-0.93%,534.10K,-1.90%,440.87K,+0.43%,13.20K,+1.45%,25.48K,-0.71%,534.36K,+0.05%,468.96K,+6.37%,14.36K,+8.84%,25.18K,-1.16%,567.32K,+6.17%,484.85K,+3.39%,15.15K,+5.50%,24.69K,-1.95%,585.96K,+3.29%,494.56K,+2.00%,15.68K,+3.51%,24.19K,-2.03%,597.64K,+1.99%,487.43K,-1.44%,15.64K,-0.26%,23.88K,-1.28%,588.22K,-1.58%,490.21K,+0.57%,15.83K,+1.23%,23.92K,+0.18%,591.74K,+0.60%,644.66K,+31.51%,20.79K,+31.30%,24.32K,+1.66%,784.46K,+32.57%,563.81K,-12.54%,18.37K,-11.63%,24.69K,+1.52%,683.03K,-12.93%,594.93K,+5.52%,19.23K,+4.67%,25.33K,+2.58%,719.84K,+5.39%
493,Ischemic heart disease,Assam,Female,227.63K,,6.87K,,16.42K,,270.60K,,248.02K,+8.96%,7.48K,+8.86%,16.16K,-1.59%,296.20K,+9.46%,262.81K,+5.96%,7.96K,+6.44%,15.95K,-1.28%,314.70K,+6.25%,280.88K,+6.88%,8.63K,+8.45%,15.62K,-2.04%,336.54K,+6.94%,289.53K,+3.08%,9.01K,+4.34%,15.03K,-3.82%,346.87K,+3.07%,297.96K,+2.91%,9.34K,+3.67%,14.50K,-3.53%,356.95K,+2.91%,285.03K,-4.34%,8.99K,-3.66%,14.10K,-2.73%,340.60K,-4.58%,260.21K,-8.71%,8.23K,-8.49%,14.01K,-0.67%,309.12K,-9.24%,268.10K,+3.04%,8.45K,+2.62%,14.22K,+1.55%,318.40K,+3.00%,312.89K,+16.70%,9.92K,+17.44%,14.47K,+1.77%,373.69K,+17.37%,329.61K,+5.34%,10.41K,+4.95%,15.01K,+3.70%,392.67K,+5.08%
493,Ischemic heart disease,Bihar,Male,1.78M,,57.57K,,81.95K,,2.14M,,1.75M,-1.83%,56.17K,-2.44%,80.19K,-2.15%,2.10M,-2.15%,1.68M,-4.03%,54.14K,-3.62%,78.95K,-1.54%,2.01M,-4.12%,1.82M,+8.18%,59.56K,+10.02%,77.86K,-1.39%,2.18M,+8.38%,1.77M,-2.47%,58.90K,-1.12%,76.39K,-1.89%,2.12M,-2.58%,1.79M,+1.17%,59.88K,+1.67%,75.31K,-1.41%,2.14M,+0.96%,1.74M,-2.83%,58.17K,-2.86%,74.50K,-1.06%,2.08M,-3.02%,1.62M,-6.88%,54.18K,-6.86%,75.00K,+0.67%,1.93M,-7.09%,2.23M,+37.30%,73.45K,+35.56%,75.60K,+0.80%,2.67M,+38.22%,1.87M,-15.89%,61.91K,-15.70%,76.89K,+1.70%,2.24M,-16.16%,1.99M,+6.14%,65.46K,+5.72%,78.96K,+2.69%,2.38M,+6.37%
493,Ischemic heart disease,Bihar,Female,1.19M,,39.60K,,55.33K,,1.41M,,1.31M,+9.68%,43.61K,+10.14%,54.19K,-2.05%,1.55M,+9.83%,1.30M,-0.49%,43.69K,+0.17%,53.29K,-1.66%,1.55M,-0.34%,1.41M,+8.61%,47.99K,+9.84%,52.32K,-1.82%,1.68M,+8.77%,1.36M,-3.74%,46.65K,-2.78%,51.01K,-2.50%,1.62M,-3.83%,1.43M,+4.82%,49.22K,+5.49%,49.61K,-2.75%,1.70M,+4.87%,1.37M,-3.78%,47.49K,-3.52%,48.50K,-2.23%,1.63M,-3.94%,1.24M,-9.55%,42.91K,-9.64%,48.14K,-0.75%,1.47M,-9.68%,1.44M,+16.32%,49.22K,+14.72%,47.86K,-0.59%,1.72M,+16.82%,1.44M,-0.25%,49.35K,+0.26%,48.43K,+1.19%,1.71M,-0.50%,1.50M,+4.25%,51.16K,+3.66%,49.78K,+2.79%,1.79M,+4.39%
493,Ischemic heart disease,Chhattisgarh,Male,727.77K,,20.93K,,24.12K,,873.04K,,735.39K,+1.05%,21.10K,+0.79%,24.03K,-0.38%,881.73K,+1.00%,751.04K,+2.13%,21.74K,+3.03%,24.08K,+0.20%,900.30K,+2.11%,838.13K,+11.60%,24.70K,+13.62%,24.24K,+0.68%,1.00M,+11.31%,861.26K,+2.76%,25.68K,+3.97%,24.28K,+0.17%,1.03M,+2.63%,855.70K,-0.65%,25.54K,-0.56%,24.33K,+0.21%,1.02M,-0.65%,847.59K,-0.95%,25.38K,-0.60%,24.58K,+1.02%,1.01M,-1.21%,830.61K,-2.00%,25.09K,-1.16%,24.89K,+1.27%,987.39K,-2.18%,1.18M,+42.57%,35.77K,+42.57%,25.19K,+1.21%,1.42M,+43.33%,953.07K,-19.52%,28.49K,-20.34%,25.63K,+1.74%,1.13M,-20.15%,958.33K,+0.55%,28.62K,+0.43%,26.48K,+3.29%,1.14M,+0.51%
493,Ischemic heart disease,Chhattisgarh,Female,359.18K,,10.93K,,16.20K,,428.15K,,399.75K,+11.30%,12.07K,+10.42%,16.13K,-0.48%,478.06K,+11.66%,425.33K,+6.40%,12.79K,+5.93%,16.09K,-0.26%,510.35K,+6.75%,480.76K,+13.03%,14.50K,+13.39%,15.95K,-0.82%,577.45K,+13.15%,500.50K,+4.11%,15.18K,+4.73%,15.64K,-1.94%,601.47K,+4.16%,526.65K,+5.22%,16.03K,+5.55%,15.29K,-2.24%,633.45K,+5.32%,530.89K,+0.80%,16.22K,+1.21%,15.01K,-1.84%,637.18K,+0.59%,502.68K,-5.31%,15.47K,-4.61%,15.05K,+0.22%,601.45K,-5.61%,679.48K,+35.17%,20.97K,+35.56%,15.08K,+0.21%,814.26K,+35.38%,576.07K,-15.22%,17.58K,-16.19%,15.29K,+1.38%,687.38K,-15.58%,562.41K,-2.37%,17.20K,-2.13%,15.84K,+3.60%,669.97K,-2.53%
