population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,494,Stroke,332,Chewing tobacco,3,Rate,2014,2456.8021725293333,3756.762533222344,1364.4275853460688
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,494,Stroke,332,Chewing tobacco,3,Rate,2014,1403.4146414602737,2553.871394036263,656.8049826387941
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2014,106.91260925038812,245.9683370000506,38.91059055427735
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2014,7.614853762866099,23.684458461174376,1.3717373673368174
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2014,285.0254706184026,913.9344883181917,2.5358019522642823
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2014,126.72872377284413,427.72772688681346,0.2885223335923789
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,17,60-64 years,494,Stroke,99,Smoking,3,Rate,2014,675.1026469106286,986.9281869570111,441.527427758485
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,17,60-64 years,494,Stroke,99,Smoking,3,Rate,2014,152.35052556495714,267.05333910226176,72.72434678239532
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,17,60-64 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,239.87489676475673,364.43334420852585,143.48606802590368
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,17,60-64 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,255.81753148669821,403.702309953659,147.13475931198727
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,17,60-64 years,494,Stroke,102,High alcohol use,3,Rate,2014,219.16287477968137,596.7335557575881,-1.80593672278856
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,17,60-64 years,494,Stroke,102,High alcohol use,3,Rate,2014,36.86968641111851,126.48326541394857,-1.9029274918005388
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,493,Ischemic heart disease,99,Smoking,3,Rate,2014,2719.652735990753,3802.037937837957,1772.5135784399888
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,493,Ischemic heart disease,99,Smoking,3,Rate,2014,174.43702286722586,291.100179274078,95.6640274462788
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2014,591.5432773929309,881.7492748298348,367.15873573594735
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2014,424.60110397394584,665.9758816607601,265.93035577257143
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,17,60-64 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2014,-254.4217947466726,519.5743487769694,-616.0683456578098
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,17,60-64 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2014,-15.239635979530597,40.12897890795373,-51.272286529332575
1,All Population,2,DALYs (Disability-Adjusted Life Years),4850,Goa,1,Male,17,60-64 years,493,Ischemic heart disease,116,Diet high in red meat,3,Rate,2014,-14.869449424008609,0.0010927980626545739,-49.00220635569142
