population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2014,426.7275212659958,1025.8002093111222,15.31836819322266
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2014,137.67739794625757,416.8600382340108,1.6494312815036483
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2014,538.3591857402179,1245.3602574545048,105.66419965214759
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2014,173.13436100793203,509.77757059423914,24.38328641083163
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,13,40-44 years,494,Stroke,337,High temperature,1,Number,2014,1.3645079458625742,5.810762318730135,-1.469062181220783
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,13,40-44 years,494,Stroke,337,High temperature,1,Number,2014,0.9014751522433894,3.6776076180015256,-0.8896891970229209
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,13,40-44 years,494,Stroke,338,Low temperature,1,Number,2014,21.184999184625635,32.578917885840085,12.240438028995198
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,13,40-44 years,494,Stroke,338,Low temperature,1,Number,2014,13.222314861318527,20.82501910190947,8.057233327301732
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,13,40-44 years,494,Stroke,380,Particulate matter pollution,1,Number,2014,136.4320245094455,228.8708028715853,70.87913515226933
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,13,40-44 years,494,Stroke,380,Particulate matter pollution,1,Number,2014,93.48615032269049,153.1565790350493,43.553762487423185
