population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,9,20-24 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2014,-0.004541808394180407,0.04833117816159599,-0.05228776970344067
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,9,20-24 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2014,-0.0018579273754586035,0.029221638479249253,-0.024950331573276408
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,9,20-24 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2014,0.6529521235599763,1.1653011864096268,0.33271607495598626
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,9,20-24 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2014,0.3115928707623473,0.5826970171322721,0.13500454747107155
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,9,20-24 years,494,Stroke,337,High temperature,3,Rate,2014,14.3088152346157,29.381250615507106,4.540245837462229
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,9,20-24 years,494,Stroke,337,High temperature,3,Rate,2014,10.99859524778614,24.165367281339346,3.3636831456564718
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,9,20-24 years,494,Stroke,338,Low temperature,3,Rate,2014,10.145138275332354,21.520227934726517,2.8172570371436114
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,9,20-24 years,494,Stroke,338,Low temperature,3,Rate,2014,7.813451495123328,17.481907519888892,2.332858166574898
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,9,20-24 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2014,0.4347534503771155,1.2061469055250005,0.06641453780511383
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,9,20-24 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2014,0.13363747228037096,0.4161393044010769,0.018190624540797812
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,9,20-24 years,494,Stroke,337,High temperature,3,Rate,2014,2.0850909940501228,5.2225703473839955,-0.23431936066191533
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,9,20-24 years,494,Stroke,337,High temperature,3,Rate,2014,3.2908819151055964,9.317057874505613,-0.46506897242912343
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,337,High temperature,3,Rate,2014,-0.993202321259093,-0.3936256897056446,-1.9769520767418327
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,337,High temperature,3,Rate,2014,-0.3368053279735145,-0.09762534360249772,-0.6611380761755825
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,338,Low temperature,3,Rate,2014,0.15040358914687874,0.34590128289506933,0.031762111057883693
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,338,Low temperature,3,Rate,2014,0.0555034326595508,0.1454378515680603,0.009953779696826062
1,All Population,2,DALYs (Disability-Adjusted Life Years),4850,Goa,1,Male,9,20-24 years,493,Ischemic heart disease,337,High temperature,3,Rate,2014,3.1080437228327487,5.462367259520575,1.7825363002571961
1,All Population,2,DALYs (Disability-Adjusted Life Years),4850,Goa,2,Female,9,20-24 years,493,Ischemic heart disease,337,High temperature,3,Rate,2014,1.373893370765108,2.6907303430101015,0.7788363358293179
