population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,18,65-69 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2014,44458.956638237796,62093.57879863118,29118.76887466815
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,18,65-69 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2014,25071.84871953347,36523.56322581167,15548.237078610333
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,18,65-69 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2014,63894.44998044811,89596.17526544712,38914.0107509996
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,18,65-69 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2014,43897.27481169644,67057.07348949122,27778.791607680327
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,93.09518925840425,150.63516492057312,56.20330274481926
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,69.97976789035465,114.2378478299996,43.08616925422136
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,47.94400254276536,97.48894675007365,12.761581411859861
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,39.89063138851541,82.7233123314983,9.084135687835381
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,18,65-69 years,494,Stroke,105,High fasting plasma glucose,1,Number,2014,2434.8144195894256,4066.5811456539377,1266.624109393029
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,18,65-69 years,494,Stroke,105,High fasting plasma glucose,1,Number,2014,2770.000578554679,5163.083242577768,1315.515346486318
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,18,65-69 years,494,Stroke,107,High systolic blood pressure,1,Number,2014,22217.824864122795,31845.239630175663,14214.380665150304
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,18,65-69 years,494,Stroke,107,High systolic blood pressure,1,Number,2014,25884.53475757077,37799.4395482739,16499.24540485621
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,18,65-69 years,494,Stroke,108,High body-mass index,1,Number,2014,64.19050209060083,375.9325384542731,-341.2349246919275
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,18,65-69 years,494,Stroke,108,High body-mass index,1,Number,2014,143.48141920490286,622.0661498346134,-366.8650394440566
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,341,Kidney dysfunction,1,Number,2014,2.6688505466873607,4.837342032988588,1.2850362396584432
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,341,Kidney dysfunction,1,Number,2014,2.904666976136371,6.7087130407681785,1.185400516320343
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2014,244.46231218505739,482.51483639626093,78.32518238102409
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2014,270.70996770521475,503.73590682666924,92.74349905535291
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2014,0.6748191569336413,6.004517621950827,-0.7317542335450764
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2014,14.107795478680268,42.06258223488102,0.38229815032385717
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,10095.543647795763,14577.975844723947,6437.753593481561
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,8454.96540376128,12629.199591324526,5377.06346333385
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,8003.4352230198265,16822.51292793592,2363.4812126613488
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,5352.830270163547,11742.469762445715,1234.2117517087208
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,1,Male,18,65-69 years,494,Stroke,105,High fasting plasma glucose,1,Number,2015,8927.80291767374,13222.650495040669,5798.941387023975
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,2,Female,18,65-69 years,494,Stroke,105,High fasting plasma glucose,1,Number,2015,5987.403453644836,9141.238126445267,3424.1023019393647
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,1,Male,18,65-69 years,494,Stroke,107,High systolic blood pressure,1,Number,2015,43800.83334584414,56961.31919043645,30502.529051758804
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,2,Female,18,65-69 years,494,Stroke,107,High systolic blood pressure,1,Number,2015,33251.6812574249,46035.67546956909,18931.1528018482
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,1,Male,18,65-69 years,494,Stroke,108,High body-mass index,1,Number,2015,1232.3352777718067,3216.8358505682017,-25.46270108375341
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,2,Female,18,65-69 years,494,Stroke,108,High body-mass index,1,Number,2015,1944.183754268309,4530.344476459704,234.14395259851793
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,6301.864108576923,10950.112978431784,3104.330883616339
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,5439.84968010239,10856.433561987606,2433.623454288574
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,1,Male,18,65-69 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,767.8371409007808,1656.327363503739,214.7179915820493
1,All Population,2,DALYs (Disability-Adjusted Life Years),4846,Chhattisgarh,2,Female,18,65-69 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,1364.0179470639273,3225.22646972641,432.2429131554645
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,1,Number,2014,1.1645932714298322,2.3887053397566103,0.46388808363816136
