population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4875,West Bengal,1,Male,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,15.55663905,29.82446269,7.576100761
1,All Population,1,Deaths,4875,West Bengal,2,Female,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,6.240808263,12.35746255,2.420982467
1,All Population,1,Deaths,4873,Uttar Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,44.4840462,73.94924813,25.36528018
1,All Population,1,Deaths,4873,Uttar Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,38.17790021,73.59035716,17.02919623
1,All Population,1,Deaths,4873,Uttar Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-10.31919856,9.731889513,-29.64644637
1,All Population,1,Deaths,4873,Uttar Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-0.172191132,0.130799846,-0.645770669
1,All Population,1,Deaths,4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,116,Diet high in red meat,1,Number,2013,-0.191751125,0,-0.696496989
1,All Population,1,Deaths,4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,116,Diet high in red meat,1,Number,2013,-0.101293322,0,-0.35995196
1,All Population,1,Deaths,4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,2013,1.129776457,2.989845704,-0.224975967
1,All Population,1,Deaths,4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,2013,0.929537416,2.773468848,-0.206748323
1,All Population,1,Deaths,4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,1,Number,2013,1.745768419,5.043597855,0.310481478
1,All Population,1,Deaths,4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,1,Number,2013,1.255166637,4.194915203,0.248966906
1,All Population,1,Deaths,4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,119,Diet low in fiber,1,Number,2013,43.26722326,77.01190302,17.62454462
1,All Population,1,Deaths,4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,119,Diet low in fiber,1,Number,2013,40.64778137,84.3922586,14.94912159
1,All Population,1,Deaths,4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,121,Diet low in seafood omega-3 fatty acids,1,Number,2013,54.35601564,103.6567078,15.41965643
1,All Population,1,Deaths,4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,121,Diet low in seafood omega-3 fatty acids,1,Number,2013,50.56954772,110.0343121,10.18868716
