population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4849,Delhi,1,Male,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.04164585363546578,0.09881262870304802,-0.008795678193604824
1,All Population,1,Deaths,4849,Delhi,2,Female,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.04164849703230297,0.09888175022249651,-0.008795534718879417
1,All Population,1,Deaths,4849,Delhi,1,Male,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.0641823960121936,0.10949709787629709,0.021699144242761675
1,All Population,1,Deaths,4849,Delhi,2,Female,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.06417336784035635,0.1094126016996638,0.02169805352796858
1,All Population,1,Deaths,4849,Delhi,1,Male,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.39902410396042387,0.5318710902757093,0.2521126831567416
1,All Population,1,Deaths,4849,Delhi,2,Female,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.39910264185024363,0.5321310682248183,0.25222414144011795
1,All Population,1,Deaths,4849,Delhi,1,Male,13,40-44 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.1409004634124898,0.3034603898440855,0.0
1,All Population,1,Deaths,4849,Delhi,2,Female,13,40-44 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.11971370564465336,0.2602755611937254,0.0
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,13,40-44 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.1642867691939582,0.37913744284880846,0.0
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,13,40-44 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.15076889173050112,0.34305318900541665,0.0
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.2804165053750333,0.38326173692259624,0.16395375935517167
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.281259801889735,0.38513872399131854,0.16665427437199087
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.2814464214323927,0.3123459116537895,0.24575571142508443
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.2521522435171349,0.2827873682590996,0.217592312454916
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,-0.013157876202638993,-0.011063816152447194,-0.0148022013989782
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,-0.013278943724702653,-0.010813900059138168,-0.014938751308225464
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.00924157606277049,0.01625865037119698,0.004506903708018749
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.00918742239660474,0.016351577871185054,0.004235914594944751
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.020298599461421638,0.06265121888750051,-0.002423731656041885
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.016291648962055552,0.05080479739340637,-0.002013757186793972
1,All Population,1,Deaths,4850,Goa,1,Male,13,40-44 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.014118335031787103,0.034265763473529345,-0.001700653272442092
1,All Population,1,Deaths,4850,Goa,2,Female,13,40-44 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.010870190311549014,0.02764945533823575,-0.0012848399262646959
1,All Population,1,Deaths,4851,Gujarat,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.003464099852979645,0.04144813794129424,-0.026425161957575122
1,All Population,1,Deaths,4851,Gujarat,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.0026133474959117147,0.03846471181000899,-0.026317278543784385
1,All Population,1,Deaths,4851,Gujarat,1,Male,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.049142849122196144,0.10148790559029498,0.0008911500054092091
1,All Population,1,Deaths,4851,Gujarat,2,Female,13,40-44 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.04777843351192575,0.09822665381641482,0.0009198217707770853
1,All Population,1,Deaths,4851,Gujarat,1,Male,13,40-44 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.02383254938987032,0.06519990453451309,-0.0038235273617278132
1,All Population,1,Deaths,4851,Gujarat,2,Female,13,40-44 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.02123466401315935,0.05878302971450167,-0.00323774305326668
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.2859907762652574,0.3166243071729267,0.2500801902908615
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.25323449402854425,0.2836332457482457,0.21910714809119455
1,All Population,1,Deaths,4865,Odisha,1,Male,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.290632672840344,0.3215205463980532,0.25448291560129116
1,All Population,1,Deaths,4865,Odisha,2,Female,13,40-44 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.260409087263464,0.29050424274011366,0.2254201444301828
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,13,40-44 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.015206188750660345,0.040346149811338286,-0.0022540002619206427
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,13,40-44 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.01109916581035207,0.029734933961827033,-0.0016338519194792995
1,All Population,1,Deaths,4863,Mizoram,1,Male,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.004622727176305187,0.01268746130493258,-0.002648624888710224
1,All Population,1,Deaths,4863,Mizoram,2,Female,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.006178013289498679,0.014634882092832757,-0.0019444260061995734
1,All Population,1,Deaths,4863,Mizoram,1,Male,13,40-44 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.045665013136597515,0.05741333239136107,0.03462631471067244
1,All Population,1,Deaths,4863,Mizoram,2,Female,13,40-44 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.0471395006623352,0.06014782767623576,0.03497241029425086
1,All Population,1,Deaths,4855,Jharkhand,1,Male,13,40-44 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.06492970477766431,0.15560339882341642,-0.008657917085003608
1,All Population,1,Deaths,4855,Jharkhand,2,Female,13,40-44 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.05266168129070737,0.12744264838531377,-0.006937389877025839
1,All Population,1,Deaths,4843,Assam,1,Male,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.007733430593499072,0.025101936337510067,-0.008032660838332569
1,All Population,1,Deaths,4843,Assam,2,Female,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.007323856375203659,0.025359317654227574,-0.008433442440373027
1,All Population,1,Deaths,4843,Assam,1,Male,13,40-44 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.04268327254646408,0.05527274581008912,0.031843895749477706
1,All Population,1,Deaths,4843,Assam,2,Female,13,40-44 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.04193116664290224,0.05344105015657376,0.031616466752603996
1,All Population,1,Deaths,4841,Andhra Pradesh,1,Male,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.03377780784486872,0.04567722702253762,0.024435724121993466
1,All Population,1,Deaths,4841,Andhra Pradesh,2,Female,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.03457483602741927,0.04725586633064857,0.024636155727517033
1,All Population,1,Deaths,4841,Andhra Pradesh,1,Male,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.012825702403285073,0.025999272476579537,0.002711408570282918
1,All Population,1,Deaths,4841,Andhra Pradesh,2,Female,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.012737537461815631,0.02577473677329561,0.0026983116585595143
1,All Population,1,Deaths,4841,Andhra Pradesh,1,Male,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.34336320100793094,0.4634259019829134,0.21447142988886628
1,All Population,1,Deaths,4841,Andhra Pradesh,2,Female,13,40-44 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.3516482162486053,0.4746709450514995,0.21876898871462128
1,All Population,1,Deaths,4855,Jharkhand,1,Male,13,40-44 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.008718577934976471,0.022834558517392266,-0.0009062486387655194
1,All Population,1,Deaths,4855,Jharkhand,2,Female,13,40-44 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.007385772215429008,0.021433001671432236,-0.0007733753748379302
1,All Population,1,Deaths,4852,Haryana,1,Male,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.043803284568101966,0.10202587140117061,-0.008404408981988331
1,All Population,1,Deaths,4852,Haryana,2,Female,13,40-44 years,494,Stroke,337,High temperature,2,Percent,2013,0.043815390620123025,0.10202270961719796,-0.008405088206799268
1,All Population,1,Deaths,4852,Haryana,1,Male,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.05992948323690327,0.10133313717851097,0.021063963631544353
1,All Population,1,Deaths,4852,Haryana,2,Female,13,40-44 years,494,Stroke,338,Low temperature,2,Percent,2013,0.05967988546517806,0.10058107937104008,0.02106412429550039
1,All Population,1,Deaths,4851,Gujarat,1,Male,13,40-44 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.3805992166274947,0.4514675797667031,0.2807171790268554
1,All Population,1,Deaths,4851,Gujarat,2,Female,13,40-44 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.39236640505155296,0.46356860346009854,0.28863381980224523
1,All Population,1,Deaths,4851,Gujarat,1,Male,13,40-44 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.07167633973892334,0.18050793837475326,-0.01069189373117694
1,All Population,1,Deaths,4851,Gujarat,2,Female,13,40-44 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.06371148082992856,0.16442951200319625,-0.009241068153791708
1,All Population,1,Deaths,4874,Uttarakhand,1,Male,13,40-44 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.004676330549427323,0.019933311809718135,-0.0072356402290945036
1,All Population,1,Deaths,4874,Uttarakhand,2,Female,13,40-44 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.0045504327432031475,0.020088994454235887,-0.00768921477144196
1,All Population,1,Deaths,4874,Uttarakhand,1,Male,13,40-44 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.06901319697898675,0.07610115219945354,0.060563605204784765
1,All Population,1,Deaths,4874,Uttarakhand,2,Female,13,40-44 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.06796228925339935,0.07439583751741008,0.059916371188983214
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,1,Male,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.0072015445030573395,0.023661907712798042,-0.0032950176045701777
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,2,Female,13,40-44 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.007562055946914629,0.024369973862782914,-0.003584733579754437
