population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4844,Bihar,1,Male,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,864.3584119,1124.72064,657.0964113
1,All Population,1,Deaths,4844,Bihar,2,Female,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,500.8443194,757.2368509,335.2916824
1,All Population,1,Deaths,4849,Delhi,1,Male,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,7.002670975,18.18216547,-1.520959928
1,All Population,1,Deaths,4849,Delhi,2,Female,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,3.725002688,11.22499098,-0.745369012
1,All Population,1,Deaths,4849,Delhi,1,Male,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,10.81126411,21.34557514,2.972266599
1,All Population,1,Deaths,4849,Delhi,2,Female,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,5.654069655,13.24242824,1.248731231
1,All Population,1,Deaths,4842,Arunachal Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,0.016457899,0.213684851,-0.145653791
1,All Population,1,Deaths,4842,Arunachal Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,0.006532629,0.084405027,-0.048513567
1,All Population,1,Deaths,4842,Arunachal Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,1.446884039,2.061505493,0.933092523
1,All Population,1,Deaths,4842,Arunachal Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,0.494851615,0.77038189,0.29848058
1,All Population,1,Deaths,4851,Gujarat,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,98.34189248,262.4773083,-14.95152129
1,All Population,1,Deaths,4851,Gujarat,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,57.03885562,144.1757902,-8.483962528
1,All Population,1,Deaths,4851,Gujarat,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.027609199,0.083458603,-0.003798254
1,All Population,1,Deaths,4851,Gujarat,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.009738755,0.033346386,-0.001138149
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,130.5247051,165.7694958,98.93184446
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,39.73482034,54.59322256,26.90775269
1,All Population,1,Deaths,4844,Bihar,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,7.683902458,18.71975798,-0.463295897
1,All Population,1,Deaths,4844,Bihar,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,2.909740057,8.386403918,-0.078422472
1,All Population,1,Deaths,4844,Bihar,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,12.20551643,27.43045906,2.90900662
1,All Population,1,Deaths,4844,Bihar,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,4.594168342,12.54057634,0.631433047
1,All Population,1,Deaths,4844,Bihar,1,Male,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.283582108,0.812536261,-0.049503176
1,All Population,1,Deaths,4844,Bihar,2,Female,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.183792179,0.516079906,-0.034154281
1,All Population,1,Deaths,4841,Andhra Pradesh,1,Male,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,43.1375667,66.84125953,26.20463348
1,All Population,1,Deaths,4841,Andhra Pradesh,2,Female,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,25.25607551,42.52633431,12.93751379
1,All Population,1,Deaths,4841,Andhra Pradesh,1,Male,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,15.81333756,33.96432138,3.19289586
1,All Population,1,Deaths,4841,Andhra Pradesh,2,Female,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,9.318979308,20.70362556,1.438895735
1,All Population,1,Deaths,4842,Arunachal Pradesh,1,Male,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.003340558,0.011194824,-0.00041497
1,All Population,1,Deaths,4842,Arunachal Pradesh,2,Female,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.001462216,0.004100003,-0.000158024
1,All Population,1,Deaths,4842,Arunachal Pradesh,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.000366178,0.001053669,-4.48E-05
1,All Population,1,Deaths,4842,Arunachal Pradesh,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.000103792,0.000334128,-1.49E-05
1,All Population,1,Deaths,4846,Chhattisgarh,1,Male,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,420.5716027,560.0914674,292.0867367
1,All Population,1,Deaths,4846,Chhattisgarh,2,Female,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,220.1412602,340.1737464,138.3293075
1,All Population,1,Deaths,4843,Assam,1,Male,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,6.213095443,21.33465474,-7.878140488
1,All Population,1,Deaths,4843,Assam,2,Female,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,3.425284925,12.37561229,-3.929630229
1,All Population,1,Deaths,4843,Assam,1,Male,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,35.55444123,50.87790262,22.71846633
1,All Population,1,Deaths,4843,Assam,2,Female,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,19.85593215,30.16872562,11.53049793
1,All Population,1,Deaths,4855,Jharkhand,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,2.168169592,5.293702236,-0.121378824
1,All Population,1,Deaths,4855,Jharkhand,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,0.937059759,3.193522433,-0.025906027
1,All Population,1,Deaths,4855,Jharkhand,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,3.330907737,7.606307898,0.75935719
1,All Population,1,Deaths,4855,Jharkhand,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,1.422401915,4.2918443,0.198534825
1,All Population,1,Deaths,4855,Jharkhand,1,Male,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.086786399,0.247041889,-0.018519911
1,All Population,1,Deaths,4855,Jharkhand,2,Female,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.060844089,0.180540918,-0.0097454
1,All Population,1,Deaths,4857,Kerala,1,Male,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,10.14384901,13.79208737,7.4116214
1,All Population,1,Deaths,4857,Kerala,2,Female,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,4.93966892,6.703682656,3.212077427
1,All Population,1,Deaths,4857,Kerala,1,Male,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,1.773501883,3.493456467,0.40263044
1,All Population,1,Deaths,4857,Kerala,2,Female,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,0.931217343,1.921024221,0.194691299
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.040306001,0.110493942,-0.005561464
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.0115107,0.030542596,-0.001802073
1,All Population,1,Deaths,4846,Chhattisgarh,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,2.302383791,6.614906756,-0.47098346
1,All Population,1,Deaths,4846,Chhattisgarh,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,1.034457061,4.161096414,-0.153534641
1,All Population,1,Deaths,4846,Chhattisgarh,1,Male,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,3.265488063,8.442441771,0.377224007
1,All Population,1,Deaths,4846,Chhattisgarh,2,Female,15,50-54 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,1.442629471,4.971269755,0.120739007
1,All Population,1,Deaths,4846,Chhattisgarh,1,Male,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.090626143,0.27390474,-0.018668278
1,All Population,1,Deaths,4846,Chhattisgarh,2,Female,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.064524839,0.189119332,-0.010659623
1,All Population,1,Deaths,4843,Assam,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,96.29503828,237.2608677,-13.73286262
1,All Population,1,Deaths,4843,Assam,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,43.47447024,102.1178577,-6.425148545
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,1,Male,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,3.581736085,11.09484545,-1.557297432
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,2,Female,15,50-54 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,2.211810482,6.895831008,-0.949987285
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,1,Male,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,32.11766403,43.39720218,23.24766089
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,2,Female,15,50-54 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,19.07206706,26.54083128,11.63563626
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,7.947341071,19.27710666,-1.281945979
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,1,Number,2013,3.864217234,11.55369947,-0.600171776
1,All Population,1,Deaths,4852,Haryana,1,Male,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,17.47625925,42.30426793,-3.198385058
1,All Population,1,Deaths,4852,Haryana,2,Female,15,50-54 years,494,Stroke,337,High temperature,1,Number,2013,10.20927197,27.90190989,-1.903375329
1,All Population,1,Deaths,4852,Haryana,1,Male,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,23.6636185,46.24876434,7.191076644
1,All Population,1,Deaths,4852,Haryana,2,Female,15,50-54 years,494,Stroke,338,Low temperature,1,Number,2013,13.83899475,28.39869822,3.783446278
1,All Population,1,Deaths,4846,Chhattisgarh,1,Male,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.106901646,0.333397576,-0.014484938
1,All Population,1,Deaths,4846,Chhattisgarh,2,Female,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.052213052,0.154428618,-0.006281464
1,All Population,1,Deaths,4856,Karnataka,1,Male,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,1678.802477,2056.846165,1257.644314
1,All Population,1,Deaths,4856,Karnataka,2,Female,15,50-54 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,776.0110529,993.9508692,533.6957629
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,1,Male,15,50-54 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.034162676,0.104338076,-0.005297105
