population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.008837425660630007,0.023958370847346224,-0.0010150406226834517
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.007856499151263775,0.02188601879554394,-0.0008802549628086618
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,1,Male,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.249214900326064,0.3366429465600073,0.1530956071826345
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,2,Female,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.2923778788976347,0.38318082856272007,0.18349150110186396
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.07841252004555951,0.18659954040615834,-0.008277440091155292
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.07073932507279047,0.16853416201700427,-0.007933955059443991
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.029403566952070033,0.08789784087446095,-0.00424593854121144
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.025473319258390387,0.07806804516797246,-0.003941979745773392
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,1,Male,15,50-54 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.22119926320689523,0.444769302237974,0.0
1,All Population,3,YLDs (Years Lived with Disability),4873,Uttar Pradesh,2,Female,15,50-54 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.17977070270871845,0.3735674334741653,0.0
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,15,50-54 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.06198497193935117,0.09175229145727912,0.03700460558500832
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,15,50-54 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.0409260868677843,0.059621032664366545,0.025414262446587448
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.2687324255191271,0.3601124086701295,0.16428961626639693
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.3046541809468498,0.4077635079647687,0.18476477508087538
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.07586258809231973,0.183039997518109,-0.010795915968064064
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.06392594018503295,0.16080550872714022,-0.008769621069243793
1,All Population,3,YLDs (Years Lived with Disability),4855,Jharkhand,1,Male,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.02684497295858992,0.07460829116495545,-0.003453678465019057
1,All Population,3,YLDs (Years Lived with Disability),4855,Jharkhand,2,Female,15,50-54 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.022863893298834724,0.06390370169210746,-0.0030132421546666677
1,All Population,3,YLDs (Years Lived with Disability),4871,Telangana,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.010166334118267291,0.02702612339149658,-0.000874369036215836
1,All Population,3,YLDs (Years Lived with Disability),4871,Telangana,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,2,Percent,2013,0.008239119133508391,0.021161522074322623,-0.0007366286412732481
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,15,50-54 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.16748219487081656,0.34627932086977775,0.0
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,15,50-54 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.14349297900730573,0.30804863474811356,0.0
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,1,Male,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.24265754122341798,0.3351814734250292,0.13721316248431922
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,2,Female,15,50-54 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.26907512664912997,0.36223829347943615,0.15786075083854012
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,1,Male,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.0723009924773621,0.16374948756223845,-0.010465764480840446
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,2,Female,15,50-54 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.0620342791527547,0.14180795076171632,-0.008765659080140027
1,All Population,3,YLDs (Years Lived with Disability),4864,Nagaland,1,Male,15,50-54 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.09007991845418072,0.11883597115919695,0.059586176372588666
1,All Population,3,YLDs (Years Lived with Disability),4864,Nagaland,2,Female,15,50-54 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.06379705355599577,0.08270915236891845,0.044560530081583144
1,All Population,3,YLDs (Years Lived with Disability),4864,Nagaland,1,Male,15,50-54 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.30302807153842654,0.3715900688386025,0.2212766900122763
1,All Population,3,YLDs (Years Lived with Disability),4864,Nagaland,2,Female,15,50-54 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.3343988258886908,0.3998528596065989,0.24713092890639202
