population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2013,6.36095476198748,13.328189541409351,2.1225899739015195
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2013,4.255413878469091,9.128526843755667,1.3192402673318409
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2013,0.039998066308898704,0.14495404653971752,-0.009630147270522041
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2013,0.13465164177266575,0.4868545119337632,0.003267909790636267
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,1,Number,2013,0.7558818725937253,1.7528693181784374,0.20770882997765922
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,1,Number,2013,0.9362071656435994,2.2279930128039407,0.2561236930984453
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,1,Number,2013,0.5715364911258226,1.4705431968941016,0.10269904921463689
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,1,Number,2013,0.7262494216194965,1.923966896363955,0.1261419536242588
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2013,693.6035639605312,1398.1168275069751,232.03687279207793
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,1,Number,2013,537.9943262480767,1166.542594977107,180.40194071750142
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2013,4.889308886281525,29.301285879477405,-2.2166203342263127
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,1,Number,2013,39.49575181609989,110.82279826795069,9.152230487481265
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,108,High body-mass index,1,Number,2013,0.20435838813986829,0.5837892020671004,0.042739640149497875
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,108,High body-mass index,1,Number,2013,0.3708967665687814,1.3110102484753212,0.06345143102822054
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,1,Male,18,65-69 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2013,236.4549762988749,372.5001523577921,132.2718924824125
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,2,Female,18,65-69 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2013,117.98468475360536,195.95893586891572,63.14724639827228
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,1,Male,18,65-69 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2013,274.19786676092576,478.53070412814014,145.90075898190295
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,2,Female,18,65-69 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2013,153.41504380623442,263.0496556941648,78.46868259386872
1,All Population,3,YLDs (Years Lived with Disability),4846,Chhattisgarh,1,Male,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2013,350.2669548873915,539.8980794659469,211.10403040810922
1,All Population,3,YLDs (Years Lived with Disability),4846,Chhattisgarh,2,Female,18,65-69 years,494,Stroke,341,Kidney dysfunction,1,Number,2013,225.77019312793166,327.7596560010676,144.27655072394097
1,All Population,3,YLDs (Years Lived with Disability),4846,Chhattisgarh,1,Male,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2013,560.1749202725456,1008.592515034386,186.88640155904938
1,All Population,3,YLDs (Years Lived with Disability),4846,Chhattisgarh,2,Female,18,65-69 years,494,Stroke,367,High LDL cholesterol,1,Number,2013,327.94616632778326,597.3968988258391,98.86352421536755
