population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4875,West Bengal,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,73.79332505,240.0544025,-9.59339604
1,All Population,4,YLLs (Years of Life Lost),4875,West Bengal,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,-0.420297792,0.562051157,-1.525498225
1,All Population,4,YLLs (Years of Life Lost),4873,Uttar Pradesh,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,1284.521267,2553.126125,544.0933993
1,All Population,4,YLLs (Years of Life Lost),4873,Uttar Pradesh,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,211.7341637,518.891693,54.32658081
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-8.810199227,7.205881346,-27.36274167
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-1.13086836,1.059605461,-3.785338662
1,All Population,4,YLLs (Years of Life Lost),4864,Nagaland,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.822860522,1.758479772,0.328602487
1,All Population,4,YLLs (Years of Life Lost),4864,Nagaland,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.015500133,0.041720596,0.002478919
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,12.51267304,45.1851597,-1.948417221
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,-0.102285544,0.158014515,-0.421528218
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,16.32553456,34.62777803,6.557906231
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.171801463,0.475544738,0.023483113
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,45.89731899,99.02714908,16.10222838
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,5.036995162,13.49204154,1.346038629
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,43.42171791,92.48419852,18.10827098
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,4.29666615,12.87361673,1.059192989
1,All Population,4,YLLs (Years of Life Lost),4871,Telangana,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-552.1783238,562.3198595,-1648.167155
1,All Population,4,YLLs (Years of Life Lost),4871,Telangana,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-17.05549614,17.12089542,-64.45574811
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-9.596394113,8.288398591,-30.31087765
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-0.295411336,0.26407448,-1.071301415
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,4.143923494,8.676844027,1.639558461
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.024130639,0.06671162,0.003242988
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,5.537629597,11.34445696,1.889634201
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.06567798,0.170864643,0.010884972
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,35.86280937,114.7762393,6.2371067
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,7.137957817,24.88113431,0.881174512
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,781.1008677,1499.670943,332.5474249
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,211.5953219,471.6948002,73.29839828
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-23.8782413,25.99977682,-74.71910568
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-0.234848719,0.237326069,-0.864369503
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,19.3281302,44.46291419,6.95808873
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.152810251,0.372528864,0.023927974
1,All Population,4,YLLs (Years of Life Lost),4867,Punjab,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,19.10362622,64.80105279,-2.701652642
1,All Population,4,YLLs (Years of Life Lost),4867,Punjab,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,-0.035562611,0.04472337,-0.136701932
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,40.9405822,138.606052,6.06242938
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,12.91638264,59.66894145,1.450787706
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,17.90491736,69.59167694,2.531090016
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,6.313683875,31.575828,0.558506705
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,12.18433213,40.68012884,-2.156102081
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,1,Number,2013,-0.086123069,0.160380381,-0.350610323
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-308.9481929,297.0188898,-898.0133454
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-2.756492387,2.251309014,-9.096872121
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,8.89976755,30.25152771,1.247611374
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,3.999456449,19.42833614,0.34448617
1,All Population,4,YLLs (Years of Life Lost),4850,Goa,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-22.26582658,20.884646,-70.206577
1,All Population,4,YLLs (Years of Life Lost),4850,Goa,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-0.485680516,0.530929964,-1.653410897
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,349.6463039,687.9939582,160.7221095
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,1,Number,2013,42.81100459,110.449621,11.46688278
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,5.894429649,18.4785545,1.020871853
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,1.715238968,6.176259959,0.222742664
