population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,11.02086334,21.68559286,5.065966334
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,1.411227121,3.640874634,0.377995708
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.905390761,2.838325931,0.156807019
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.285425424,1.02776444,0.037065634
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.624329299,1.321893937,0.23679957
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.034647107,0.068282973,0.007600308
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,3,Rate,2013,1.125139249,3.599469301,-0.183394248
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,3,Rate,2013,-0.014677473,0.025212429,-0.05281481
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,2.054028139,4.473426779,0.701375118
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,0.147317551,0.418137043,0.033143331
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.729097076,2.447487164,0.099749954
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.227015755,0.896345817,0.025992167
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,19.99562645,38.39050911,8.512977467
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,9,20-24 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,6.046544312,13.47914257,2.09457378
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,1.130396966,3.617750947,0.196593814
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.235296503,0.820184714,0.029047143
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.870595382,2.848643993,0.153037206
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.324991559,1.429137115,0.036301926
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,9,20-24 years,494,Stroke,102,High alcohol use,3,Rate,2013,1.720220242,5.048314054,-0.288420779
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,9,20-24 years,494,Stroke,102,High alcohol use,3,Rate,2013,-0.00242103,0.004732213,-0.010367329
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-7.318723748,7.887620168,-22.59225988
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.110817657,0.102292589,-0.400304227
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.494786381,1.138218967,0.178122121
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.004366703,0.010645378,0.000683765
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-2.111197748,2.033486218,-6.456714281
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.127333576,0.127398246,-0.454218818
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-8.958644919,7.855504549,-28.53300183
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,9,20-24 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.6702223,0.660167897,-2.351712851
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.357062584,0.714506491,0.146769044
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,9,20-24 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.001623634,0.004353445,0.00022512
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,9,20-24 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.877967501,3.149438721,0.158511743
