population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.05791592,0.186137119,-0.007935784
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.01975334,0.069460525,-0.002965858
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,1,Male,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,75.23899997,115.3256556,45.51251121
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,2,Female,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,21.43884377,34.37460849,11.62399276
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,54798.73538,74910.99607,37019.35492
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,12508.14988,19560.97226,7576.147008
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,2.1932893,10.60962683,-4.5120112
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,1.28733626,7.872609574,-2.297052992
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,23.35591774,40.79705956,11.86969111
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,12.59945818,30.29528678,5.399565087
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,49.85684664,137.8521024,-24.24117187
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,15.98411098,62.00355792,-7.484485792
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,14,45-49 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,111.9387835,210.7943581,41.00781245
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,14,45-49 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,34.46272339,92.69124815,7.350192283
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,26475.31028,35227.67819,18455.08262
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,12782.37992,19713.72921,7942.624092
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,14,45-49 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,9.054653973,31.25906365,-1.624140229
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,14,45-49 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,3.765621251,11.47868372,-0.417805524
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,1,Male,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,7.54031582,36.7487045,-13.0402327
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,2,Female,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,4.118826079,25.74086929,-5.327073637
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,1,Male,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,111.0747829,203.393822,51.75675913
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,2,Female,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,54.79885538,131.9642083,22.58344748
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,14,45-49 years,494,Stroke,337,High temperature,1,Number,2013,1838.530951,3221.098869,766.8506102
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,14,45-49 years,494,Stroke,337,High temperature,1,Number,2013,987.1436254,1739.854964,404.1610857
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,14,45-49 years,494,Stroke,338,Low temperature,1,Number,2013,1165.861858,2253.748604,322.2489684
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,14,45-49 years,494,Stroke,338,Low temperature,1,Number,2013,633.8138934,1193.139193,158.4930042
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,1,Male,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,39.95295582,128.3012422,-4.781051354
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,2,Female,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,18.95209105,72.30134473,-2.74043806
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,1,Male,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,163.5584332,350.9934811,60.25486733
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,2,Female,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,78.81345047,220.4955995,22.1988445
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,49.8493609,72.54342257,31.75795604
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,13.61527728,20.74253653,7.808023006
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,269.6402005,404.8442988,157.6085116
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,81.04016322,131.0323019,45.22179328
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,38.24155547,94.20351801,-5.881835371
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,16.86263577,46.87636993,-2.402743539
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,1,Male,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,36.63772898,90.92121741,-6.1258428
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,2,Female,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,12.45784116,40.81724969,-1.039564898
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,31.82172396,98.84594773,-10.16069626
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,12.42706188,48.50967511,-4.036573481
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,149.9867808,319.2728239,40.04764799
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,56.93836016,144.1920117,13.43807825
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,102.2044898,210.8475327,-1.276870657
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,20.31837801,54.41856476,-0.338186449
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,5975.350011,8592.012365,3787.515389
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,4122.135581,6586.027133,2356.991015
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,8830.015888,12473.5704,5584.822099
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,2364.548156,3577.13039,1403.431503
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,4296.694141,5809.64811,2868.025608
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,1113.263561,1630.296745,677.7077391
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,44294.66958,57665.82679,33592.0849
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,17568.00188,24916.35154,11215.33252
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,77.01259601,261.3390388,-67.21553436
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,16.97219978,66.47143675,-14.48488587
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,886.0437197,1158.233289,657.7486133
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,338,Low temperature,1,Number,2013,208.0033542,289.9603626,142.4091798
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,4827.991954,6704.974235,3301.926376
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,1102.161652,1636.663081,678.0800489
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,130.3324431,387.5340122,-25.47080765
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,59.95294512,169.9392235,-9.866214808
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,14,45-49 years,494,Stroke,337,High temperature,1,Number,2013,1082.406613,1798.40441,566.5011089
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,14,45-49 years,494,Stroke,337,High temperature,1,Number,2013,727.6011622,1264.603702,339.8264446
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,14,45-49 years,494,Stroke,338,Low temperature,1,Number,2013,893.2093072,1844.212793,202.4260203
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,14,45-49 years,494,Stroke,338,Low temperature,1,Number,2013,607.6738973,1270.779792,124.3083238
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,14,45-49 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,11826.39904,19559.70155,6245.133597
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,14,45-49 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,7570.444589,12297.86306,3831.100386
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,14,45-49 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,2362.447963,5221.607463,0
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,14,45-49 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,1105.845344,3011.507209,0
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,1299.655684,2696.650711,77.62367157
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,493,Ischemic heart disease,337,High temperature,1,Number,2013,379.8437392,775.8126733,20.96576359
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,14,45-49 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,1661.677717,3922.244158,0
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,14,45-49 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,732.8980135,2163.808821,0
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,154.3358174,305.9732095,44.56000469
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,30.51843918,76.18728329,4.895487313
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,1.494962022,4.284286308,-0.282825879
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.401257377,1.306403678,-0.052597381
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,3.483399815,8.924837906,-0.729001496
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,1.731581531,5.295639778,-0.205070527
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.03798544,0.112977077,-0.004674917
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.013791925,0.048499974,-0.001851967
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.006362443,0.019323423,-0.000801953
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.002040306,0.007098675,-0.000259497
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,14,45-49 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,1.915318823,7.849116386,-0.30013712
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,14,45-49 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.977866447,3.035013786,-0.109485192
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,1401.413951,1997.566196,866.5850446
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,14,45-49 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,589.9462806,873.6170824,373.9944678
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,79439.92826,104900.5199,55246.75332
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,14,45-49 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,21437.93404,31599.62785,13571.68634
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,3543.614182,9265.769755,-379.5669726
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,14,45-49 years,494,Stroke,91,Lead exposure,1,Number,2013,1940.260765,4988.26876,-217.089873
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,12.8866578,69.2949579,-36.09433326
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,14,45-49 years,498,Hypertensive heart disease,337,High temperature,1,Number,2013,8.531832513,66.49736002,-18.41941261
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,132.5284954,268.2837683,46.23765984
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,14,45-49 years,498,Hypertensive heart disease,338,Low temperature,1,Number,2013,74.29836351,232.2807674,17.74439749
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.594990173,1.670759137,-0.103239245
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,14,45-49 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.25246132,0.832479317,-0.033940235
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.595550203,1.649790777,-0.055910546
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,14,45-49 years,502,Lower extremity peripheral arterial disease,91,Lead exposure,1,Number,2013,0.273347311,0.793224724,-0.039654227
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,14,45-49 years,501,Aortic aneurysm,91,Lead exposure,1,Number,2013,0.491037031,1.348187833,-0.060983314
