population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,380,Particulate matter pollution,3,Rate,2013,275.3522266,426.2582256,165.2364282
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,380,Particulate matter pollution,3,Rate,2013,147.6772494,246.9732916,76.32063065
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,494,Stroke,337,High temperature,3,Rate,2013,1.936248557,4.24834488,0.490088773
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,494,Stroke,337,High temperature,3,Rate,2013,1.451316084,3.27187837,0.339938344
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,494,Stroke,338,Low temperature,3,Rate,2013,1.701827848,3.437537731,0.567334573
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,494,Stroke,338,Low temperature,3,Rate,2013,1.269538277,2.626214272,0.389936727
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,494,Stroke,380,Particulate matter pollution,3,Rate,2013,60.04230794,111.4022121,27.36882241
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,494,Stroke,380,Particulate matter pollution,3,Rate,2013,44.86311965,86.28878787,19.51222811
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,10,25-29 years,494,Stroke,91,Lead exposure,3,Rate,2013,7.425938045,20.13002203,-0.881055568
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,10,25-29 years,494,Stroke,91,Lead exposure,3,Rate,2013,6.082457386,18.29711159,-0.639245872
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,498,Hypertensive heart disease,91,Lead exposure,3,Rate,2013,4.431177135,10.43114905,0
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,498,Hypertensive heart disease,91,Lead exposure,3,Rate,2013,2.501267686,6.655451512,0
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2013,0.096148337,0.325328184,-0.018610777
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2013,0.043161139,0.155761151,-0.009694252
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2013,0.46961427,0.862636868,0.215708872
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2013,0.231593428,0.482346651,0.099220948
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,10,25-29 years,493,Ischemic heart disease,91,Lead exposure,3,Rate,2013,116.3421466,188.0794566,72.18855163
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,10,25-29 years,493,Ischemic heart disease,91,Lead exposure,3,Rate,2013,20.86392962,32.8296225,12.24554615
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,10,25-29 years,499,Cardiomyopathy and myocarditis,337,High temperature,3,Rate,2013,-1.410238297,-0.505196023,-3.194797168
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,10,25-29 years,499,Cardiomyopathy and myocarditis,337,High temperature,3,Rate,2013,-0.353290675,-0.105351669,-0.684941011
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,10,25-29 years,499,Cardiomyopathy and myocarditis,338,Low temperature,3,Rate,2013,0.508180348,1.103526404,0.160135691
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,10,25-29 years,499,Cardiomyopathy and myocarditis,338,Low temperature,3,Rate,2013,0.124104079,0.319486717,0.025640463
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,10,25-29 years,501,Aortic aneurysm,91,Lead exposure,3,Rate,2013,0.080786413,0.197878723,-0.009300343
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,10,25-29 years,501,Aortic aneurysm,91,Lead exposure,3,Rate,2013,0.007846663,0.023493872,-0.000788087
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,10,25-29 years,494,Stroke,380,Particulate matter pollution,3,Rate,2013,87.32607086,149.6723518,44.80581413
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,10,25-29 years,494,Stroke,380,Particulate matter pollution,3,Rate,2013,81.45375058,139.8187556,42.19585551
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,10,25-29 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2013,0.246057475,0.627236855,0.033195936
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,10,25-29 years,498,Hypertensive heart disease,337,High temperature,3,Rate,2013,0.206762547,0.642127338,0.022483587
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,10,25-29 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2013,0.545578836,1.110464612,0.208937022
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,10,25-29 years,498,Hypertensive heart disease,338,Low temperature,3,Rate,2013,0.443000781,1.111031709,0.138682547
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,337,High temperature,3,Rate,2013,3.602118299,12.84669903,-3.234549064
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,337,High temperature,3,Rate,2013,1.479267481,5.514672041,-1.137682325
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,338,Low temperature,3,Rate,2013,42.70510189,62.65542965,27.3065056
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,338,Low temperature,3,Rate,2013,16.51342096,26.50792291,10.16926052
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,10,25-29 years,493,Ischemic heart disease,380,Particulate matter pollution,3,Rate,2013,230.0865577,345.4652817,145.4213817
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,10,25-29 years,493,Ischemic heart disease,380,Particulate matter pollution,3,Rate,2013,91.41305183,143.5102581,50.71501793
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,10,25-29 years,494,Stroke,91,Lead exposure,3,Rate,2013,3.914124255,12.38467776,-0.592387516
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,10,25-29 years,494,Stroke,91,Lead exposure,3,Rate,2013,2.058032414,7.085746776,-0.271908367
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,10,25-29 years,494,Stroke,337,High temperature,3,Rate,2013,6.465361474,12.04224913,3.0406365
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,10,25-29 years,494,Stroke,337,High temperature,3,Rate,2013,5.308571996,10.03811468,2.357836037
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,10,25-29 years,494,Stroke,338,Low temperature,3,Rate,2013,5.35285539,12.45247939,1.112928255
