population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,493,Ischemic heart disease,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2014,95.40309618937202,372.34151336107,-402.8551290607824
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,493,Ischemic heart disease,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2014,72.21037597740357,285.5381370724829,-285.6295401601089
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,493,Ischemic heart disease,123,Diet high in trans fatty acids,3,Rate,2014,101.14521626654967,211.03053462220595,6.234239854731256
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,493,Ischemic heart disease,123,Diet high in trans fatty acids,3,Rate,2014,71.19049511148053,134.1316555825194,3.5369929849318833
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,493,Ischemic heart disease,124,Diet high in sodium,3,Rate,2014,16.88358607493682,63.36743212891463,-6.484853037552475
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,493,Ischemic heart disease,124,Diet high in sodium,3,Rate,2014,1.7931142486918825,14.19793441886702,-0.22310486366386673
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,493,Ischemic heart disease,125,Low physical activity,3,Rate,2014,26.65234385751133,63.168397643032925,3.628760075533921
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,493,Ischemic heart disease,125,Low physical activity,3,Rate,2014,16.19374213510305,37.973343149869024,3.1325876706438187
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,494,Stroke,332,Chewing tobacco,3,Rate,2014,27.201892426388426,46.82799898575956,12.642275132752234
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,494,Stroke,332,Chewing tobacco,3,Rate,2014,14.716185749894162,28.19306290517188,6.583923099459126
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,14.403616398123031,21.830970971287304,8.374256533556565
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,12.455248824305741,20.190648545053964,6.8224502498461135
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,1,Male,10,25-29 years,494,Stroke,102,High alcohol use,3,Rate,2014,0.11271676705308165,1.9824978108418592,-1.0044572097395041
1,All Population,2,DALYs (Disability-Adjusted Life Years),4860,Maharashtra,2,Female,10,25-29 years,494,Stroke,102,High alcohol use,3,Rate,2014,-0.017453007245178363,0.013915006825777194,-0.0569647716446018
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2014,1.7092284019537993,3.494189982176642,0.7273140481830531
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2014,0.28058374124390906,0.8033164016842779,0.046145872149401516
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2014,2.7646742724482207,9.961975061324535,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2014,1.3038488289349677,6.67415298882219,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,14.787238624791366,23.39182268776583,8.532068656210004
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,100,Secondhand smoke,3,Rate,2014,19.96494851797903,33.488525624245995,10.392349953692209
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,102,High alcohol use,3,Rate,2014,-0.5724437746468258,0.7248893053625558,-2.0157195356016966
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,102,High alcohol use,3,Rate,2014,-0.017265981929274556,0.010132431136253365,-0.05645923930571594
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,116,Diet high in red meat,3,Rate,2014,-1.1773330320952466,1.036525177665137,-6.326821679868319
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,116,Diet high in red meat,3,Rate,2014,-0.6813972501066895,0.7472419519565351,-3.313054453773975
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,117,Diet high in processed meat,3,Rate,2014,0.03097219270039639,0.07329487944479295,0.007655985800939047
