population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,105,High fasting plasma glucose,1,Number,2014,54.69374031864341,94.5700907423584,27.888634627403217
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,105,High fasting plasma glucose,1,Number,2014,56.954338184312306,98.37469408928163,26.12611053464426
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,107,High systolic blood pressure,1,Number,2014,1616.4295912697967,2654.4431543775872,809.8461098214464
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,107,High systolic blood pressure,1,Number,2014,972.845312268379,1866.5065265110024,419.7349895687321
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,1,Male,10,25-29 years,494,Stroke,108,High body-mass index,1,Number,2014,73.7404819382666,257.81257886683824,-51.27467048297587
1,All Population,2,DALYs (Disability-Adjusted Life Years),4852,Haryana,2,Female,10,25-29 years,494,Stroke,108,High body-mass index,1,Number,2014,51.820746050450694,189.24929226251376,-61.85981063302789
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,10.111363007399994,16.666014814417863,5.018354511259977
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,8.709722350955406,16.691055148304784,4.401003251896512
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,11.149205431331152,19.76901885564351,4.2049634284244215
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,12.597768247482504,21.706890530335563,4.997247266648369
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,10.74485030948411,19.40060000430605,5.706993978449533
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,8.426806656662626,19.052983391300565,3.5290692993557062
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,5.2370802651713415,10.705058062588392,2.196672962738819
1,All Population,2,DALYs (Disability-Adjusted Life Years),4842,Arunachal Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,4.1553475388571774,10.730292874266313,1.3632047630395219
1,All Population,2,DALYs (Disability-Adjusted Life Years),4862,Meghalaya,1,Male,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,25.953448135204134,47.835362913276,12.51816786515463
1,All Population,2,DALYs (Disability-Adjusted Life Years),4862,Meghalaya,2,Female,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,18.167962605918966,44.976997228136284,8.26016279160872
1,All Population,2,DALYs (Disability-Adjusted Life Years),4862,Meghalaya,1,Male,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,10.76780903093821,23.532669539674785,3.473159127266991
1,All Population,2,DALYs (Disability-Adjusted Life Years),4862,Meghalaya,2,Female,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,6.18784892060046,17.61913332871611,1.804609757275215
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,105,High fasting plasma glucose,1,Number,2014,332.15380828708805,668.1835463723055,147.08517944869263
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,105,High fasting plasma glucose,1,Number,2014,281.1822575215195,623.3518029946533,104.6406594461065
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,107,High systolic blood pressure,1,Number,2014,4250.696732112796,7025.090341706655,2367.2346498122497
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,107,High systolic blood pressure,1,Number,2014,2532.072029045158,5312.251073187812,1059.1390970366351
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2014,945.6751584583867,1811.7586862303074,296.28216406574404
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2014,898.0882121175919,2004.2067282461016,280.80581100283604
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2015,2187.46090888863,3614.6715290128795,1202.2818312673478
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,341,Kidney dysfunction,1,Number,2015,1763.2704050307188,3108.558922715988,834.1785057673734
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2015,7098.870174612736,12056.54502400065,4258.171970778435
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,2015,6437.280735709521,11071.54629280577,3109.743065518511
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,494,Stroke,105,High fasting plasma glucose,1,Number,2015,135.69394716667426,287.70381388835415,53.34008756181515
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,494,Stroke,105,High fasting plasma glucose,1,Number,2015,152.73805088625252,390.0726647787707,53.285788197952314
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,494,Stroke,107,High systolic blood pressure,1,Number,2015,2239.666458118828,3853.1730007663464,1084.8727311450295
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,494,Stroke,107,High systolic blood pressure,1,Number,2015,1928.9620517401167,4380.068325851345,767.1188212002129
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,1,Male,10,25-29 years,494,Stroke,108,High body-mass index,1,Number,2015,7.633251995295824,146.4335420842067,-192.66441343626263
1,All Population,2,DALYs (Disability-Adjusted Life Years),4844,Bihar,2,Female,10,25-29 years,494,Stroke,108,High body-mass index,1,Number,2015,34.88969575737772,215.39803788563805,-191.28570842550684
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,1,Male,10,25-29 years,493,Ischemic heart disease,105,High fasting plasma glucose,1,Number,2014,36.224426506333906,63.814078591195326,19.10022409199987
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,2,Female,10,25-29 years,493,Ischemic heart disease,105,High fasting plasma glucose,1,Number,2014,18.78938937096243,38.07172546353246,8.89048054352266
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,1,Male,10,25-29 years,493,Ischemic heart disease,107,High systolic blood pressure,1,Number,2014,438.50229855201906,793.44890265579,220.29667237616755
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,2,Female,10,25-29 years,493,Ischemic heart disease,107,High systolic blood pressure,1,Number,2014,84.26506854421791,170.33842342140844,32.26056472505428
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,1,Male,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2014,195.74467070712322,364.0250667477269,67.9692498962606
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,2,Female,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2014,108.5076429506221,203.8375153200244,42.217589326375005
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,1,Male,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,594.9314394183689,1035.3084454113657,316.6584262702551
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,2,Female,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,532.661615859392,882.9529323684644,310.3653697401053
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,1,Male,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,723.1933111596887,1298.4869973862603,287.51087107728523
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,2,Female,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,807.4283579980732,1330.8138847408795,319.9798137925793
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,207.95973320513724,364.81081537719655,107.98600094259652
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,10,25-29 years,494,Stroke,341,Kidney dysfunction,1,Number,2014,173.0361105148235,309.9848832971688,93.35907392062357
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,230.98796933236122,438.30373743415396,82.59903509866047
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,10,25-29 years,494,Stroke,367,High LDL cholesterol,1,Number,2014,251.6082134501331,506.9126148840411,79.63050729564848
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,1,Male,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,703.5838912628258,1289.9087288749088,351.28473117404553
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,2,Female,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,1,Number,2014,469.7293172435071,840.7146876288729,236.65819327137143
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,1,Male,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,331.9038605890719,709.8609293584066,116.72115714070415
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,2,Female,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,1,Number,2014,287.03192551514616,639.114961893553,99.79934715249996
