population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,15,50-54 years,494,Stroke,105,High fasting plasma glucose,3,Rate,2014,161.4630004552829,272.88774598708534,85.40390479736402
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,15,50-54 years,494,Stroke,105,High fasting plasma glucose,3,Rate,2014,186.62513664130194,373.7297045552933,79.34777799049832
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,15,50-54 years,494,Stroke,107,High systolic blood pressure,3,Rate,2014,1923.2132179643515,2960.0289698412425,1199.71213949487
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,15,50-54 years,494,Stroke,107,High systolic blood pressure,3,Rate,2014,2198.0215487119845,3463.8977020975626,1253.7680916639044
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,1,Male,15,50-54 years,494,Stroke,108,High body-mass index,3,Rate,2014,16.42436173414327,91.5294118494058,-66.0729197820911
1,All Population,2,DALYs (Disability-Adjusted Life Years),4855,Jharkhand,2,Female,15,50-54 years,494,Stroke,108,High body-mass index,3,Rate,2014,32.296265066922864,125.14765111266028,-89.04634646047651
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,3,Rate,2014,0.6794676437863377,1.339611465982269,0.2592126593704665
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,3,Rate,2014,0.29357636859688163,0.5976387592062269,0.11347678339720434
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,1,Male,15,50-54 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,3,Rate,2014,0.7051359761023914,1.639303969210003,0.12525856876352637
1,All Population,2,DALYs (Disability-Adjusted Life Years),4863,Mizoram,2,Female,15,50-54 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,3,Rate,2014,0.26204954220988447,0.6034379641468646,0.04069676544123356
