population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,99,Smoking,3,Rate,2013,1.5298379023937891,2.9166407765901643,0.8061529001008909
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,99,Smoking,3,Rate,2013,0.057300978684184864,0.11328031290588678,0.02197673911443849
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,100,Secondhand smoke,3,Rate,2013,0.3998021321969112,0.6274678088696519,0.21045560585393955
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,100,Secondhand smoke,3,Rate,2013,0.15970602855604124,0.2913898443014561,0.07181530643476192
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,102,High alcohol use,3,Rate,2013,0.032667524626080115,0.1116613702972464,-0.0071972258061007086
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,102,High alcohol use,3,Rate,2013,-0.0001829145282947931,8.971115908127059e-05,-0.0006287656267785484
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,116,Diet high in red meat,3,Rate,2013,-0.08118672452692034,0.11181701596073389,-0.42927030812859
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,116,Diet high in red meat,3,Rate,2013,-0.010138130627351409,0.012608596361502366,-0.05591145907642817
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,117,Diet high in processed meat,3,Rate,2013,0.0015040030320571994,0.004737134289216881,0.0002894496276862354
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,117,Diet high in processed meat,3,Rate,2013,0.0011121481531229434,0.003115779225159825,0.00019141147317542693
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,118,Diet high in sugar-sweetened beverages,3,Rate,2013,0.0016506209366172293,0.0059102596140445775,0.00024077047712445885
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,118,Diet high in sugar-sweetened beverages,3,Rate,2013,0.000644310868094389,0.0019711650526598712,8.859840788707006e-05
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,119,Diet low in fiber,3,Rate,2013,0.4800965504981802,1.1694410877834864,-0.15527279954462012
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,119,Diet low in fiber,3,Rate,2013,0.21586956875635602,0.5777447802585239,-0.06292785244504831
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2013,0.0005364325657799455,0.0012444438245712683,0.00011652386523419206
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2013,0.0002639084297503971,0.0006003090849632727,7.119560398433414e-05
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,124,Diet high in sodium,3,Rate,2013,0.44630441117609665,1.587955329947985,0.0025999630986503998
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,124,Diet high in sodium,3,Rate,2013,0.09096554624748913,0.3990108621695065,3.632859122489756e-05
1,All Population,1,Deaths,4851,Gujarat,1,Male,11,30-34 years,494,Stroke,125,Low physical activity,3,Rate,2013,0.011253223307058653,0.049037474855193976,4.847306064614519e-05
1,All Population,1,Deaths,4851,Gujarat,2,Female,11,30-34 years,494,Stroke,125,Low physical activity,3,Rate,2013,0.012863198329166494,0.04508473450650135,0.0007764342655548784
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,493,Ischemic heart disease,99,Smoking,3,Rate,2013,3.677740241142502,5.411026947718656,2.192215713526723
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,493,Ischemic heart disease,99,Smoking,3,Rate,2013,0.33312221246821283,0.7526240399308783,0.11534260925525243
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2013,0.9065513587812258,1.3867191355890596,0.5632165625593533
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2013,0.6136660610919572,1.0707199602716317,0.3014038999266625
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.5000440631124399,0.4622233156473339,-1.4710376684007909
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.005213520016837417,0.004818416172280822,-0.019390724374643047
1,All Population,1,Deaths,4855,Jharkhand,1,Male,11,30-34 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.08566699660436572,0.2796708511125292,0.01288944781652373
1,All Population,1,Deaths,4855,Jharkhand,2,Female,11,30-34 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.012298450945601211,0.06624802866253399,0.0011627618363240842
1,All Population,1,Deaths,4855,Jharkhand,1,Male,11,30-34 years,500,Atrial fibrillation and flutter,99,Smoking,3,Rate,2013,0.0032392665394977514,0.005893452307911666,0.0013606472241241333
1,All Population,1,Deaths,4855,Jharkhand,2,Female,11,30-34 years,500,Atrial fibrillation and flutter,99,Smoking,3,Rate,2013,5.4943982192258934e-05,0.00015552949371836766,1.3837817366948315e-05
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.1041302816989368,0.39771091673398834,0.015367653049478042
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,3,Rate,2013,0.0143400504389929,0.06928966379348137,0.0015318153687371072
1,All Population,1,Deaths,4864,Nagaland,1,Male,11,30-34 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2013,0.12250663698331751,0.3957047040330523,0.0012547055835738707
1,All Population,1,Deaths,4864,Nagaland,2,Female,11,30-34 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2013,0.03174715196832412,0.14339993059645953,2.2695955166652602e-05
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,494,Stroke,119,Diet low in fiber,3,Rate,2013,0.3091253429895123,0.7630974358493688,-0.09446727476089256
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,494,Stroke,119,Diet low in fiber,3,Rate,2013,0.132055034919254,0.3130542123422446,-0.033291259825723764
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,494,Stroke,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2013,0.00038894644935650826,0.0008826688973450297,9.999899385542917e-05
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,494,Stroke,122,Diet low in omega-6 polyunsaturated fatty acids,3,Rate,2013,0.00015032609473490357,0.00032370665402838244,3.9262976416937116e-05
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,494,Stroke,124,Diet high in sodium,3,Rate,2013,0.35371866697820475,1.3438924975852773,0.0021314657743623094
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,494,Stroke,124,Diet high in sodium,3,Rate,2013,0.07008218484422887,0.3060345504353975,5.874136113743167e-05
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,494,Stroke,125,Low physical activity,3,Rate,2013,0.05495136236024064,0.17461727793383908,0.006616992079733039
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,494,Stroke,125,Low physical activity,3,Rate,2013,0.04439831204386472,0.1150958862442483,0.011272872355963926
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,0.21601981741455606,0.4219540353963563,0.09620764652287286
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,494,Stroke,332,Chewing tobacco,3,Rate,2013,0.019714706465830078,0.05341320712215247,0.005106228633559368
1,All Population,1,Deaths,4860,Maharashtra,1,Male,11,30-34 years,494,Stroke,99,Smoking,3,Rate,2013,1.3153861385899945,2.2604207627787245,0.6986827302640339
1,All Population,1,Deaths,4860,Maharashtra,2,Female,11,30-34 years,494,Stroke,99,Smoking,3,Rate,2013,0.10500841530907629,0.2529262392031808,0.0359461953843607
1,All Population,1,Deaths,4860,Maharashtra,1,Male,11,30-34 years,494,Stroke,100,Secondhand smoke,3,Rate,2013,0.42390771333153177,0.6450716324873014,0.23132352069125464
1,All Population,1,Deaths,4860,Maharashtra,2,Female,11,30-34 years,494,Stroke,100,Secondhand smoke,3,Rate,2013,0.17574987115030222,0.31291268317961796,0.09097798743381012
1,All Population,1,Deaths,4860,Maharashtra,1,Male,11,30-34 years,494,Stroke,102,High alcohol use,3,Rate,2013,0.01581643842797106,0.09019607528729688,-0.021641208722262207
1,All Population,1,Deaths,4860,Maharashtra,2,Female,11,30-34 years,494,Stroke,102,High alcohol use,3,Rate,2013,-0.00018433299530879642,0.00010921046557929753,-0.000570009552494634
1,All Population,1,Deaths,4860,Maharashtra,1,Male,11,30-34 years,494,Stroke,116,Diet high in red meat,3,Rate,2013,-0.024997810462827934,0.030549960086712763,-0.14143245270748517
1,All Population,1,Deaths,4860,Maharashtra,2,Female,11,30-34 years,494,Stroke,116,Diet high in red meat,3,Rate,2013,-0.005243068793719188,0.006231212380116181,-0.026646544528393875
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,500,Atrial fibrillation and flutter,99,Smoking,3,Rate,2013,0.0041135407498212135,0.007654019080287556,0.0019723403146215987
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,500,Atrial fibrillation and flutter,99,Smoking,3,Rate,2013,0.000141348212125741,0.00036875077428317197,3.697583342996092e-05
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,500,Atrial fibrillation and flutter,102,High alcohol use,3,Rate,2013,0.0011892312824404595,0.0024403499540597297,0.00046654875848513137
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,500,Atrial fibrillation and flutter,102,High alcohol use,3,Rate,2013,4.676976687312711e-06,1.2448161940284999e-05,9.7711930126305e-07
1,All Population,1,Deaths,4844,Bihar,1,Male,11,30-34 years,500,Atrial fibrillation and flutter,124,Diet high in sodium,3,Rate,2013,0.0006062826016594586,0.0031077625655847483,2.467530533741139e-06
1,All Population,1,Deaths,4844,Bihar,2,Female,11,30-34 years,500,Atrial fibrillation and flutter,124,Diet high in sodium,3,Rate,2013,0.00010544866892962478,0.0005274086481375255,1.9498689354254177e-08
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.06120658457565799,0.12212746426824421,0.026518089928887763
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.0003571668638636544,0.001039131002340305,3.8736569666455396e-05
1,All Population,1,Deaths,4857,Kerala,1,Male,11,30-34 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2013,0.16555666353591392,0.4934092849563785,0.0015064478453216778
1,All Population,1,Deaths,4857,Kerala,2,Female,11,30-34 years,498,Hypertensive heart disease,124,Diet high in sodium,3,Rate,2013,0.05493093226435513,0.2013191102005105,9.423808357169236e-05
1,All Population,1,Deaths,4873,Uttar Pradesh,1,Male,11,30-34 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.04979169055344739,0.1016127969637177,0.01867032112592217
1,All Population,1,Deaths,4873,Uttar Pradesh,2,Female,11,30-34 years,498,Hypertensive heart disease,102,High alcohol use,3,Rate,2013,0.00027635601194784235,0.0009804512897647276,2.8833767823730093e-05
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,99,Smoking,3,Rate,2013,6.292942467915463,8.999553201171803,4.254081277439512
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,99,Smoking,3,Rate,2013,0.181389364887118,0.42025470501698753,0.06873824816633568
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2013,1.094137127456565,1.6376905052294202,0.6730081999582805
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,2013,0.7217373732800252,1.0993618996008752,0.4208263656990566
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.7681928003443814,0.7283401763295699,-2.213323691487832
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,102,High alcohol use,3,Rate,2013,-0.0010911569015714393,0.0009786585053122108,-0.003800145184051684
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,116,Diet high in red meat,3,Rate,2013,-0.016037688522059796,2.276665762196922e-09,-0.05605222723557649
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,116,Diet high in red meat,3,Rate,2013,-0.0042704953246848875,0.0,-0.017072464115101625
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,117,Diet high in processed meat,3,Rate,2013,0.06216453698959444,0.15985383241196371,-0.015115734241367477
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,117,Diet high in processed meat,3,Rate,2013,0.028349917106548175,0.07902318333950897,-0.005849275126392646
1,All Population,1,Deaths,4853,Himachal Pradesh,1,Male,11,30-34 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,3,Rate,2013,0.2649197334866575,0.7277384504021689,0.05712716756133711
1,All Population,1,Deaths,4853,Himachal Pradesh,2,Female,11,30-34 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,3,Rate,2013,0.10347592130817722,0.3642756132030316,0.018784742868638793
