population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.02089370366926669,0.05903908751682139,-0.00272215331710406
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.017003508423087236,0.05285784585544613,-0.0024776038491955334
1,All Population,3,YLDs (Years Lived with Disability),4867,Punjab,1,Male,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.21189164809758773,0.2686333367092078,0.1463315089370122
1,All Population,3,YLDs (Years Lived with Disability),4867,Punjab,2,Female,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.16663365354741552,0.2152995467042685,0.12205966489126033
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.06315178454903699,0.09253897810010303,0.03723960791151108
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.04322163238253333,0.06529625085380446,0.02585582755034156
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.2631847506545037,0.34993256193715094,0.1526041295829188
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.29238838933469236,0.3926602989300966,0.1750764198210537
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.06074803037682987,0.1489417975165907,-0.007487716132457539
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.04877214283465097,0.12283026535781061,-0.005741913066000086
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.018022271692953437,0.0514158324781656,-0.0029429627305692678
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.014281213425989352,0.041385775939659475,-0.0015783163508450541
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,1,Male,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.15606026112611424,0.22734345958945318,0.09399054795874015
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,2,Female,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.12538493281167828,0.1911161283750673,0.07200476550954078
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,1,Male,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.14451003195933076,0.20164316198062443,0.08252299607357495
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,2,Female,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.1762306037759758,0.24105594277969553,0.10668928118329105
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.18331635577669964,0.25838677397433407,0.10902712825952673
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.15475060777062416,0.21960766709810856,0.09207057259379965
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.17064400076951178,0.24084233822376436,0.09560262276040303
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.1998196158500341,0.2819511217542521,0.11731745734171331
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.057082533467846655,0.13686821647891284,-0.007367653937434034
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.04211728830244506,0.10318034753849885,-0.005346026288249713
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.181421919565155,0.37283134382981764,0.0
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.15905874810198067,0.33125585738569296,0.0
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.11908098594901906,0.1594062763742477,0.07910979175363111
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.09081990632609592,0.11828353003785375,0.06352765695450274
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.26150879555837164,0.3286675874285453,0.19033604031283058
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.2927386167721365,0.35819092382609535,0.21053435909253773
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.2540142736102726,0.28380934742662645,0.22065080296590395
1,All Population,3,YLDs (Years Lived with Disability),4853,Himachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.2242674094782826,0.25283610259495753,0.19288086192633677
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.2620701173569112,0.3268372450935089,0.1903138858743556
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,87,Household air pollution from solid fuels,2,Percent,2013,0.2970713029952667,0.36495343910557443,0.21795957466399557
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.26235218622126705,0.29210432135154185,0.22829175169949825
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.23444990224764067,0.2635671159606347,0.20194654456206107
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.11558770580000688,0.16112285138986748,0.06573283997461765
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,494,Stroke,86,Ambient particulate matter pollution,2,Percent,2013,0.08875170153745689,0.12800006561235952,0.0536639022008765
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.21096047607292123,0.2952709977570738,0.12386248343361668
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,494,Stroke,87,Household air pollution from solid fuels,2,Percent,2013,0.2413563016695792,0.330452071255908,0.13763537244444396
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.0445412556036224,0.1130083159404562,-0.00658848796028218
1,All Population,3,YLDs (Years Lived with Disability),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.03820190853784883,0.09489865346554846,-0.005778080799950197
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,1,Male,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.10695806549836437,0.1437216732746437,0.07125351398620441
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,2,Female,12,35-39 years,493,Ischemic heart disease,86,Ambient particulate matter pollution,2,Percent,2013,0.07716578190217999,0.10098993524181865,0.053572498377167696
