population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),4856,Karnataka,1,Male,15,50-54 years,493,Ischemic heart disease,341,Kidney dysfunction,2,Percent,2013,0.13864914781913665,0.1912008489763024,0.0913262514203213
1,All Population,3,YLDs (Years Lived with Disability),4856,Karnataka,2,Female,15,50-54 years,493,Ischemic heart disease,341,Kidney dysfunction,2,Percent,2013,0.13391191778266942,0.18264503261561743,0.09202334671959499
1,All Population,3,YLDs (Years Lived with Disability),4856,Karnataka,1,Male,15,50-54 years,493,Ischemic heart disease,367,High LDL cholesterol,2,Percent,2013,0.4661292886317901,0.5818740332413199,0.32773715267576686
1,All Population,3,YLDs (Years Lived with Disability),4856,Karnataka,2,Female,15,50-54 years,493,Ischemic heart disease,367,High LDL cholesterol,2,Percent,2013,0.4539593600615569,0.5755278316816178,0.3142220655176572
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.09927644484252629,0.13077250473997962,0.07243334662779793
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.09065251729504285,0.12807745991659422,0.06188464998061498
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.4732710510013084,0.5679694530366604,0.3615799695755744
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.4915916158974528,0.5893477339248597,0.3761869350069855
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.08803192974869625,0.14273859335409092,0.038522461840730784
1,All Population,3,YLDs (Years Lived with Disability),4841,Andhra Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.12451382177832247,0.1983578530173819,0.05723858428588294
1,All Population,3,YLDs (Years Lived with Disability),4850,Goa,1,Male,15,50-54 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.3144266137671323,0.4543162400424164,0.12767046452966763
1,All Population,3,YLDs (Years Lived with Disability),4850,Goa,2,Female,15,50-54 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.28266947108276747,0.4100354161580005,0.12044612464039858
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,1,Male,15,50-54 years,494,Stroke,341,Kidney dysfunction,2,Percent,2013,0.15590963623718837,0.19823734603547769,0.11416878325247988
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,2,Female,15,50-54 years,494,Stroke,341,Kidney dysfunction,2,Percent,2013,0.12245145102649538,0.1567370256595358,0.09017971884220174
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,1,Male,15,50-54 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.3121609215464531,0.46096824363336536,0.13485977251856873
1,All Population,3,YLDs (Years Lived with Disability),4852,Haryana,2,Female,15,50-54 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.28674627133507663,0.43156202251517256,0.11871886638481968
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,1,Male,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.0626679934529323,0.09872220436894817,0.04080998278409834
1,All Population,3,YLDs (Years Lived with Disability),4859,Madhya Pradesh,2,Female,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.05792485165691131,0.10178966198355381,0.035529601376171394
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,1,Male,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.08188250369469194,0.10950439105922924,0.057805709515383316
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,2,Female,15,50-54 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.07312063289094368,0.12793633328503576,0.04274725179748784
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,1,Male,15,50-54 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.5138520484328628,0.6093197463732735,0.4022092260273303
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,2,Female,15,50-54 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.5081776949417588,0.6029078421919964,0.3949193451202769
1,All Population,3,YLDs (Years Lived with Disability),4843,Assam,1,Male,15,50-54 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.058457234489884255,0.09802038933371965,0.02607346852669177
