population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,1,Male,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2013,4.158488326,8.296565621,1.413106812
1,All Population,3,YLDs (Years Lived with Disability),44538,Other Union Territories,2,Female,10,25-29 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2013,4.127312013,7.999018039,1.40131526
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,10,25-29 years,494,Stroke,341,Kidney dysfunction,3,Rate,2013,4.40508984,7.122550041,2.189259699
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,10,25-29 years,494,Stroke,341,Kidney dysfunction,3,Rate,2013,3.686043503,6.392723083,1.925972322
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,10,25-29 years,494,Stroke,367,High LDL cholesterol,3,Rate,2013,12.30071234,22.66007078,4.848686998
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,10,25-29 years,494,Stroke,367,High LDL cholesterol,3,Rate,2013,11.84852949,21.26619222,4.51016157
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,3,Rate,2013,0.332867449,0.562939168,0.179767768
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,10,25-29 years,498,Hypertensive heart disease,107,High systolic blood pressure,3,Rate,2013,1.040945867,1.811528992,0.608326075
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,1,Male,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,3,Rate,2013,0.138779736,0.282357864,0.053223297
1,All Population,3,YLDs (Years Lived with Disability),4860,Maharashtra,2,Female,10,25-29 years,498,Hypertensive heart disease,108,High body-mass index,3,Rate,2013,0.448683797,0.848588384,0.175010385
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,1,Male,10,25-29 years,494,Stroke,367,High LDL cholesterol,3,Rate,2013,19.7777862,32.48743693,8.015041081
1,All Population,3,YLDs (Years Lived with Disability),4857,Kerala,2,Female,10,25-29 years,494,Stroke,367,High LDL cholesterol,3,Rate,2013,16.74869878,29.02875988,6.461950028
