population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,3,Rate,2013,57.73544066,116.3790028,19.31470915
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,3,Rate,2013,50.59186524,109.6992345,16.96462254
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,3,Rate,2013,0.406985226,2.439033967,-0.184511093
1,All Population,3,YLDs (Years Lived with Disability),4844,Bihar,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,3,Rate,2013,3.71409819,10.42154499,0.860656681
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,3,Rate,2013,73.9079166,154.8601991,24.66236731
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,107,High systolic blood pressure,3,Rate,2013,52.51407827,112.6508929,16.28012895
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,3,Rate,2013,0.464737427,1.684220684,-0.111892656
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,500,Atrial fibrillation and flutter,108,High body-mass index,3,Rate,2013,1.66167312,6.0080445,0.040327751
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,3,Rate,2013,8.782589484,20.36658399,2.413368348
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,105,High fasting plasma glucose,3,Rate,2013,11.55329606,27.49462281,3.16070306
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,3,Rate,2013,6.640680983,17.08623753,1.193259982
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,107,High systolic blood pressure,3,Rate,2013,8.962305445,23.74277828,1.556659027
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,1,Male,18,65-69 years,502,Lower extremity peripheral arterial disease,108,High body-mass index,3,Rate,2013,2.374439573,6.783045199,0.496591766
1,All Population,3,YLDs (Years Lived with Disability),4842,Arunachal Pradesh,2,Female,18,65-69 years,502,Lower extremity peripheral arterial disease,108,High body-mass index,3,Rate,2013,4.577064038,16.17856612,0.783024521
1,All Population,3,YLDs (Years Lived with Disability),4846,Chhattisgarh,1,Male,18,65-69 years,494,Stroke,341,Kidney dysfunction,3,Rate,2013,128.8204783,198.5626331,77.63941701
