population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.165521844,0.690128423,-0.066654604
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.039740495,0.177463227,-0.010441399
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,73.03619147,247.9525053,11.14609195
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,16.39224293,61.45539799,2.325108112
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,827.4839378,1598.116033,376.6955576
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,258.7075396,558.0146899,91.21367056
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,14.23626848,47.00545939,2.593057915
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,2.588498997,7.318331364,0.354780719
1,All Population,4,YLLs (Years of Life Lost),4852,Haryana,1,Male,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.201767365,1.228873735,-0.034073791
1,All Population,4,YLLs (Years of Life Lost),4852,Haryana,2,Female,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.042108236,0.307652068,-0.00702697
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,38.90997033,83.38430497,13.90037342
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,0.472340481,1.449036956,0.050450128
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,10,25-29 years,498,Hypertensive heart disease,124,Diet high in sodium,1,Number,2013,128.5699051,474.6605689,0
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,10,25-29 years,498,Hypertensive heart disease,124,Diet high in sodium,1,Number,2013,35.89552484,180.2697611,0
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,72.06469376,120.3301629,40.78090607
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,67.98318416,111.834579,37.12478321
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-43.92360616,39.27977273,-128.8104107
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,102,High alcohol use,1,Number,2013,-2.014940515,1.538947987,-6.816150289
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,407.0545642,809.6840182,167.7886202
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,494,Stroke,332,Chewing tobacco,1,Number,2013,101.27352,250.7055635,27.56713607
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,116,Diet high in red meat,1,Number,2013,-0.815737612,6.10E-07,-2.721166583
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,116,Diet high in red meat,1,Number,2013,-0.357013936,0,-1.335007103
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,2013,3.578359164,9.514388617,-0.774867639
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,2013,2.570890457,7.379318389,-0.519976639
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,1,Number,2013,6.742382166,21.17767446,1.306345386
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,1,Number,2013,4.295545882,13.23722193,0.807995539
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,119,Diet low in fiber,1,Number,2013,106.7648835,219.963725,36.78875037
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,119,Diet low in fiber,1,Number,2013,89.42437411,171.4804054,35.8881442
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,121,Diet low in seafood omega-3 fatty acids,1,Number,2013,194.8280998,404.6480956,47.93522638
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,121,Diet low in seafood omega-3 fatty acids,1,Number,2013,151.8200374,298.9525521,40.24859635
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,122,Diet low in omega-6 polyunsaturated fatty acids,1,Number,2013,139.2388127,613.1044518,-611.5206308
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,122,Diet low in omega-6 polyunsaturated fatty acids,1,Number,2013,99.29124069,386.7632264,-425.5540422
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,123,Diet high in trans fatty acids,1,Number,2013,144.7853398,311.1076423,9.96822657
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,123,Diet high in trans fatty acids,1,Number,2013,97.13821151,225.7931913,4.936743451
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,124,Diet high in sodium,1,Number,2013,19.65911496,81.34508968,-5.446125162
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,124,Diet high in sodium,1,Number,2013,5.754785841,35.42348342,-0.922248424
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,493,Ischemic heart disease,125,Low physical activity,1,Number,2013,0.6319518,3.561131135,0.000104571
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,493,Ischemic heart disease,125,Low physical activity,1,Number,2013,1.162009818,6.247518794,0.045981235
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,1,Male,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,52.42220647,175.4919266,6.894945802
1,All Population,4,YLLs (Years of Life Lost),4865,Odisha,2,Female,10,25-29 years,499,Cardiomyopathy and myocarditis,102,High alcohol use,1,Number,2013,15.8873004,71.01663232,1.405131388
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,51.97087573,109.235439,20.34714748
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,10,25-29 years,498,Hypertensive heart disease,102,High alcohol use,1,Number,2013,2.877529073,6.514429344,0.469767719
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.036253342,0.167782907,-0.008489384
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,10,25-29 years,501,Aortic aneurysm,124,Diet high in sodium,1,Number,2013,0.010360833,0.063467415,-0.002191169
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,1,Male,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,2723.924384,4305.815134,1657.790664
1,All Population,4,YLLs (Years of Life Lost),4870,Tamil Nadu,2,Female,10,25-29 years,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2013,975.8722633,1597.4844,531.2472088
