population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,1,Male,12,35-39 years,494,Stroke,337,High temperature,1,Number,2013,435.3030958,966.7037337,91.76236917
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,2,Female,12,35-39 years,494,Stroke,337,High temperature,1,Number,2013,202.6133829,541.8956381,28.81204018
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,1,Male,12,35-39 years,494,Stroke,338,Low temperature,1,Number,2013,463.9218071,1002.853569,119.4166499
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,2,Female,12,35-39 years,494,Stroke,338,Low temperature,1,Number,2013,217.4452396,576.6227673,42.89729715
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,3926.418973,6756.068605,2022.165804
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,1823.18489,4172.302226,747.3683509
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,12,35-39 years,494,Stroke,337,High temperature,1,Number,2013,561.5940193,1234.621116,113.8434654
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,12,35-39 years,494,Stroke,337,High temperature,1,Number,2013,257.8710646,615.3420171,44.91643609
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,12,35-39 years,494,Stroke,338,Low temperature,1,Number,2013,599.8487149,1264.526657,170.0184911
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,12,35-39 years,494,Stroke,338,Low temperature,1,Number,2013,275.8102349,614.6274809,71.17074409
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,7245.845639,12306.37202,4071.735638
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,1,Number,2013,3292.555651,6656.439972,1417.736631
1,All Population,4,YLLs (Years of Life Lost),4861,Manipur,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,393.7790587,608.6308671,225.9579027
1,All Population,4,YLLs (Years of Life Lost),4861,Manipur,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,1,Number,2013,190.9657496,316.7390647,103.8043984
1,All Population,4,YLLs (Years of Life Lost),4861,Manipur,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,1,Number,2013,55.18351229,153.5216356,-7.052913946
1,All Population,4,YLLs (Years of Life Lost),4861,Manipur,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,1,Number,2013,16.4103623,46.37422038,-2.487589839
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,691.1291341,1016.528446,435.1123101
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,1,Number,2013,259.4497168,411.8956018,158.1313196
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,34.39758242,99.04399732,-16.71553952
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,1,Number,2013,9.306641973,36.04705684,-4.332259174
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,76.94938437,165.9106889,26.79632978
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,1,Number,2013,19.58083599,50.29146088,4.354514965
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.094861729,0.285516721,-0.015289027
1,All Population,4,YLLs (Years of Life Lost),4872,Tripura,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,0.025904388,0.091001736,-0.003257049
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,1,Male,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,338.921205,866.0065852,0
1,All Population,4,YLLs (Years of Life Lost),4868,Rajasthan,2,Female,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,1,Number,2013,98.25122896,323.0691693,0
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,1,Number,2013,1.433703005,4.348174454,-0.289453552
