population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.408544162,0.48189739,0.302194002
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.41185972,0.484209422,0.302037184
1,All Population,4,YLLs (Years of Life Lost),4852,Haryana,1,Male,12,35-39 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.012019827,0.028005447,-0.001439088
1,All Population,4,YLLs (Years of Life Lost),4852,Haryana,2,Female,12,35-39 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.008595801,0.020952665,-0.001038668
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.01243857,0.022009251,0.004025592
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.013056578,0.023568012,0.004483375
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.0100754,0.016288552,0.004061916
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.009919851,0.016199076,0.003914502
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.368917208,0.490647312,0.22899854
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.376460795,0.502687972,0.237928272
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.010611245,0.026795556,-0.005157349
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.010784618,0.027570742,-0.005528793
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.023305922,0.037052487,0.010365065
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.023121271,0.036857654,0.009912069
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.022834611,0.071111046,-0.003106352
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.018759653,0.057982354,-0.002163164
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.055348024,0.130420988,-0.007578936
1,All Population,4,YLLs (Years of Life Lost),4859,Madhya Pradesh,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.043866467,0.107932597,-0.005620413
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.21648148,0.44392267,0
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.203432135,0.411781038,0
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.005940988,0.014191204,-0.000750348
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.00615505,0.014412071,-0.000595985
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.025233131,0.030174208,0.01979306
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.024907622,0.03031352,0.01916629
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,1,Male,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.00467219,0.020018163,-0.007400394
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,2,Female,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.004398475,0.02021545,-0.008185883
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,1,Male,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.068995376,0.075877674,0.060285887
1,All Population,4,YLLs (Years of Life Lost),4874,Uttarakhand,2,Female,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.066641179,0.073300646,0.058779918
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.264367069,0.294183895,0.230052038
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.235119292,0.263831666,0.202800226
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.03673399,0.071082448,0.002060976
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.036734995,0.071084707,0.002060421
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.009403457,0.029094608,-0.00435893
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.009226985,0.028808604,-0.004319408
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.064490239,0.07260773,0.054748371
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.064182403,0.072531272,0.054373423
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.378698377,0.503967888,0.235835224
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.376499951,0.500848239,0.236622157
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.171419277,0.383017728,0
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.153115985,0.343759069,0
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.255010883,0.284778939,0.221444175
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.229670709,0.258482627,0.197576018
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.3588442,0.47700867,0.224311523
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.370412099,0.489338119,0.234233492
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,-0.018312089,-0.010186287,-0.02191365
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,-0.018485044,-0.010251618,-0.022262334
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.0066013,0.012554784,0.002121675
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.0065603,0.012519548,0.001764965
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.018076787,0.047695674,-0.002934822
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.014138318,0.03603205,-0.002128595
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.012541057,0.029626154,-0.001578054
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,501,Aortic aneurysm,91,Lead exposure,2,Percent,2013,0.009174533,0.021448571,-0.001184561
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.0122653,0.026428292,0.001901907
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.012848146,0.026859173,0.002169418
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.026175311,0.042267289,0.012116215
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.026369789,0.041932532,0.012081758
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.022545789,0.052352281,-0.003145672
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.022577685,0.054052302,-0.004452206
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.270956438,0.30135344,0.236104837
1,All Population,4,YLLs (Years of Life Lost),4863,Mizoram,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.240315554,0.269552893,0.207000131
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.007799356,0.010932111,0.005949636
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.007873789,0.010949797,0.006020392
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.007852523,0.009920393,0.006373108
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.007661048,0.009675176,0.006221609
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.340122429,0.406734072,0.246417353
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.343100913,0.411361249,0.249489842
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.057090689,0.12775329,-0.007404163
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.044322087,0.101651798,-0.005338629
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.215678088,0.243356289,0.185075741
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.202537019,0.228799806,0.17362198
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.011873312,0.012383854,0.011380738
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.011973328,0.012405358,0.011535876
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.00221194,0.004063202,0.000569482
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.002054073,0.003978499,0.000378151
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.028445787,0.043707505,0.014420198
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.02978633,0.046531088,0.014909588
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.058679714,0.079445263,0.036361772
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.060794636,0.082992185,0.037634054
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.38605518,0.456471737,0.285663336
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.379105075,0.451649869,0.276945229
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.003655196,0.013910782,-0.003715018
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.003792203,0.014509153,-0.003867816
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.055469463,0.061946462,0.049463633
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.055518815,0.061927139,0.049519052
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.017148503,0.029651279,0.006404002
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,493,Ischemic heart disease,337,High temperature,2,Percent,2013,0.01867759,0.030898048,0.00708447
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.033647742,0.042940606,0.02439975
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.034719949,0.044221674,0.025051099
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.363007305,0.429819549,0.267228759
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.373205214,0.444446928,0.275335846
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.056630162,0.137055779,-0.00776406
1,All Population,4,YLLs (Years of Life Lost),4860,Maharashtra,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.041492493,0.103418362,-0.005011097
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.346429557,0.470250351,0.212349226
1,All Population,4,YLLs (Years of Life Lost),4841,Andhra Pradesh,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.357453385,0.481869347,0.221424342
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.04164711,0.098818965,-0.008796201
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,12,35-39 years,494,Stroke,337,High temperature,2,Percent,2013,0.041645901,0.098855406,-0.008794275
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.064177079,0.1094694,0.021696137
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,12,35-39 years,494,Stroke,338,Low temperature,2,Percent,2013,0.064189091,0.109449931,0.02170079
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.399012181,0.532073167,0.252093307
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.399153248,0.531954963,0.252128898
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.254266642,0.283995297,0.220512748
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.224043767,0.252389958,0.192455923
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.005002952,0.023171788,-0.010566841
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.005005348,0.023112134,-0.010852786
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.04743199,0.076239396,0.020576517
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.047436492,0.076044395,0.020675242
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.276420376,0.306801363,0.241468251
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.24711764,0.276964335,0.213655937
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.018769021,0.03778363,-0.00338631
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.017138627,0.034009621,-0.003380483
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.076342901,0.087663955,0.063832437
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.077196503,0.088179172,0.06573307
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.014196259,0.040987185,-0.002274659
1,All Population,4,YLLs (Years of Life Lost),4854,Jammu & Kashmir and Ladakh,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.012161614,0.034324804,-0.001837629
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.014438694,0.03443801,-0.00367908
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,12,35-39 years,498,Hypertensive heart disease,337,High temperature,2,Percent,2013,0.014380315,0.0343111,-0.003715245
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.057802463,0.104339285,0.019154027
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,12,35-39 years,498,Hypertensive heart disease,338,Low temperature,2,Percent,2013,0.057747177,0.104037805,0.019146216
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.060726212,0.068764746,0.052345868
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,338,Low temperature,2,Percent,2013,0.060222803,0.068396584,0.051781904
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.327954084,0.39881337,0.232971794
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,493,Ischemic heart disease,380,Particulate matter pollution,2,Percent,2013,0.348345768,0.420921608,0.25153833
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.060704312,0.148802779,-0.007368225
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.048580158,0.119645115,-0.005740044
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.261192325,0.292376624,0.226630155
1,All Population,4,YLLs (Years of Life Lost),4855,Jharkhand,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.239687639,0.268266936,0.206632669
1,All Population,4,YLLs (Years of Life Lost),4864,Nagaland,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.371187556,0.488466566,0.234226696
1,All Population,4,YLLs (Years of Life Lost),4864,Nagaland,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.394885809,0.520615566,0.250234715
1,All Population,4,YLLs (Years of Life Lost),4871,Telangana,1,Male,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.267314602,0.297690795,0.232957904
1,All Population,4,YLLs (Years of Life Lost),4871,Telangana,2,Female,12,35-39 years,493,Ischemic heart disease,91,Lead exposure,2,Percent,2013,0.228664253,0.259655571,0.197588361
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,1,Male,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.018226168,0.053948263,-0.002777598
1,All Population,4,YLLs (Years of Life Lost),4853,Himachal Pradesh,2,Female,12,35-39 years,500,Atrial fibrillation and flutter,91,Lead exposure,2,Percent,2013,0.014333683,0.041519967,-0.001997585
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,1,Male,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.065378463,0.179393335,-0.009358943
1,All Population,4,YLLs (Years of Life Lost),4851,Gujarat,2,Female,12,35-39 years,494,Stroke,91,Lead exposure,2,Percent,2013,0.054871396,0.14460931,-0.008285563
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.331284385,0.447502429,0.201316685
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,12,35-39 years,494,Stroke,380,Particulate matter pollution,2,Percent,2013,0.33108839,0.450625478,0.199487817
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,1,Male,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.141684684,0.29806414,0
1,All Population,4,YLLs (Years of Life Lost),4849,Delhi,2,Female,12,35-39 years,498,Hypertensive heart disease,91,Lead exposure,2,Percent,2013,0.124255196,0.265457501,0
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.013913616,0.030680483,-0.006801989
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.013941117,0.031308316,-0.007359504
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.039010902,0.05972294,0.018614604
1,All Population,4,YLLs (Years of Life Lost),4862,Meghalaya,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.038360861,0.05741338,0.017355558
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.045821446,0.090103792,-0.002374927
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,337,High temperature,2,Percent,2013,0.045772055,0.090014781,-0.002450543
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,1,Male,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.072478192,0.128491098,0.019419425
1,All Population,4,YLLs (Years of Life Lost),4844,Bihar,2,Female,12,35-39 years,499,Cardiomyopathy and myocarditis,338,Low temperature,2,Percent,2013,0.072438949,0.128287891,0.019393566
