population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,16,55-59 years,494,Stroke,341,Kidney dysfunction,2,Percent,2013,0.136867904,0.180212867,0.098671168
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,16,55-59 years,494,Stroke,341,Kidney dysfunction,2,Percent,2013,0.124117412,0.160012006,0.088344656
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,16,55-59 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.07924816,0.151591479,0.026290272
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,16,55-59 years,494,Stroke,367,High LDL cholesterol,2,Percent,2013,0.066367761,0.12446941,0.018835511
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,16,55-59 years,498,Hypertensive heart disease,107,High systolic blood pressure,2,Percent,2013,1,1,1
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,16,55-59 years,498,Hypertensive heart disease,107,High systolic blood pressure,2,Percent,2013,1,1,1
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,1,Male,16,55-59 years,498,Hypertensive heart disease,108,High body-mass index,2,Percent,2013,0.404591505,0.60446738,0.194888578
1,All Population,4,YLLs (Years of Life Lost),4856,Karnataka,2,Female,16,55-59 years,498,Hypertensive heart disease,108,High body-mass index,2,Percent,2013,0.468076301,0.702208861,0.256138825
1,All Population,4,YLLs (Years of Life Lost),4846,Chhattisgarh,1,Male,16,55-59 years,493,Ischemic heart disease,341,Kidney dysfunction,2,Percent,2013,0.151369736,0.202856632,0.107033074
1,All Population,4,YLLs (Years of Life Lost),4846,Chhattisgarh,2,Female,16,55-59 years,493,Ischemic heart disease,341,Kidney dysfunction,2,Percent,2013,0.147340667,0.196915216,0.105104006
1,All Population,4,YLLs (Years of Life Lost),4846,Chhattisgarh,1,Male,16,55-59 years,493,Ischemic heart disease,367,High LDL cholesterol,2,Percent,2013,0.417099928,0.535762905,0.293400221
1,All Population,4,YLLs (Years of Life Lost),4846,Chhattisgarh,2,Female,16,55-59 years,493,Ischemic heart disease,367,High LDL cholesterol,2,Percent,2013,0.468456715,0.589213706,0.338244183
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,16,55-59 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.092764014,0.123099539,0.061967757
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,16,55-59 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.085556877,0.128113718,0.052956671
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,16,55-59 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.551650251,0.644090064,0.442913656
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,16,55-59 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.535979758,0.627905673,0.427505115
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,1,Male,16,55-59 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.069564073,0.114663825,0.030668008
1,All Population,4,YLLs (Years of Life Lost),4842,Arunachal Pradesh,2,Female,16,55-59 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.066537546,0.107942142,0.027210725
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,16,55-59 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.177536513,0.223535626,0.141582691
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,16,55-59 years,493,Ischemic heart disease,105,High fasting plasma glucose,2,Percent,2013,0.183441781,0.225781915,0.151914505
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,16,55-59 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.546333609,0.641306353,0.437332728
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,2,Female,16,55-59 years,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,2013,0.551483939,0.648350277,0.441223034
1,All Population,4,YLLs (Years of Life Lost),4857,Kerala,1,Male,16,55-59 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2013,0.093137147,0.142363479,0.043993536
