rei_id,rei_name
86,Ambient particulate matter pollution
87,Household air pollution from solid fuels
91,Lead exposure
99,Smoking
100,Secondhand smoke
102,High alcohol use
105,High fasting plasma glucose
107,High systolic blood pressure
108,High body-mass index
116,Diet high in red meat
117,Diet high in processed meat
118,Diet high in sugar-sweetened beverages
119,Diet low in fiber
121,Diet low in seafood omega-3 fatty acids
122,Diet low in omega-6 polyunsaturated fatty acids
123,Diet high in trans fatty acids
124,Diet high in sodium
125,Low physical activity
332,Chewing tobacco
337,High temperature
338,Low temperature
341,Kidney dysfunction
367,High LDL cholesterol
380,Particulate matter pollution
