rei_id,rei_name,2013,2014,2013-2014 YoY %,2015,2014-2015 YoY %,2016,2015-2016 YoY %,2017,2016-2017 YoY %,2018,2017-2018 YoY %,2019,2018-2019 YoY %,2020,2019-2020 YoY %,2021,2020-2021 YoY %,2022,2021-2022 YoY %,2023,2022-2023 YoY %
99,Smoking,5215476.45,5112893.12,-1.97,4986891.11,-2.46,5137967.98,3.03,5009367.96,-2.5,4830777.47,-3.57,4425713.82,-8.39,4274653.63,-3.41,5249715.56,22.81,4396440.53,-16.25,4428520.92,0.73
100,Secondhand smoke,1827766.95,1860364.98,1.78,1849425.21,-0.59,1930880.93,4.4,1911959.99,-0.98,1895065.83,-0.88,1770296.15,-6.58,1726755.39,-2.46,2092980.14,21.21,1832154.81,-12.46,1871610.98,2.15
102,High alcohol use,-76741.8,-67325.72,-12.27,-52825.98,-21.54,-42751.61,-19.07,-23538.79,-44.94,-12737.12,-45.89,-443.81,-96.52,5672.5,-1378.13,-14036.22,-347.44,-4446.77,-68.32,-7583.65,70.54
105,High fasting plasma glucose,2936444.51,3043852.53,3.66,3100669.25,1.87,3313320.69,6.86,3358038.0,1.35,3402152.0,1.31,3194243.91,-6.11,3146501.71,-1.49,3852879.48,22.45,3436548.55,-10.81,3546074.88,3.19
107,High systolic blood pressure,20819581.57,21306695.53,2.34,21538786.31,1.09,22710703.51,5.44,22866038.05,0.68,22920059.06,0.24,21679983.36,-5.41,21428474.57,-1.16,25899647.48,20.87,22883753.3,-11.64,23508506.15,2.73
108,High body-mass index,2976708.58,3127312.6,5.06,3240030.88,3.6,3442032.9,6.23,3489720.54,1.39,3521644.27,0.91,3362536.39,-4.52,3395547.17,0.98,4120526.34,21.35,3733090.79,-9.4,3894763.2,4.33
116,Diet high in red meat,-28270.88,-29617.51,4.76,-30952.44,4.51,-33554.53,8.41,-34868.02,3.91,-35709.7,2.41,-34671.56,-2.91,-34666.82,-0.01,-42746.41,23.31,-36259.37,-15.18,-36488.25,0.63
117,Diet high in processed meat,69124.53,71143.39,2.92,71562.72,0.59,75492.64,5.49,75212.62,-0.37,75378.23,0.22,70881.58,-5.97,69622.83,-1.78,89370.92,28.36,77972.92,-12.75,81088.66,4.0
118,Diet high in sugar-sweetened beverages,117780.92,124294.43,5.53,128817.1,3.64,139656.24,8.41,143080.43,2.45,148465.79,3.76,142595.35,-3.95,144540.48,1.36,182334.08,26.15,154201.4,-15.43,164652.02,6.78
119,Diet low in fiber,1469755.26,1463683.22,-0.41,1413404.71,-3.44,1426039.66,0.89,1347545.63,-5.5,1281048.19,-4.93,1153002.03,-10.0,1087624.39,-5.67,1364679.74,25.47,1206680.26,-11.58,1204400.97,-0.19
121,Diet low in seafood omega-3 fatty acids,2646274.06,2651825.52,0.21,2581880.58,-2.64,2636106.17,2.1,2517222.19,-4.51,2424744.34,-3.67,2194357.56,-9.5,2100733.7,-4.27,2579026.63,22.77,2220615.14,-13.9,2236640.45,0.72
122,Diet low in omega-6 polyunsaturated fatty acids,2455349.74,2490329.87,1.42,2474979.57,-0.62,2581978.71,4.32,2532157.61,-1.93,2500333.39,-1.26,2306137.59,-7.77,2233737.93,-3.14,2792106.12,25.0,2419389.46,-13.35,2469017.81,2.05
123,Diet high in trans fatty acids,2333827.29,2365241.46,1.35,2341199.28,-1.02,2437394.72,4.11,2392563.47,-1.84,2363734.64,-1.2,2187172.52,-7.47,2134140.83,-2.42,2681155.39,25.63,2320068.73,-13.47,2378572.21,2.52
124,Diet high in sodium,2381650.91,2437757.38,2.36,2491505.63,2.2,2634926.07,5.76,2675682.54,1.55,2710147.81,1.29,2538275.87,-6.34,2509846.68,-1.12,3053358.93,21.66,2653743.62,-13.09,2726500.48,2.74
125,Low physical activity,435843.7,444675.15,2.03,444592.83,-0.02,465451.18,4.69,468938.79,0.75,482663.63,2.93,440801.61,-8.67,424425.38,-3.72,509904.68,20.14,465881.32,-8.63,476092.55,2.19
332,Chewing tobacco,1059095.98,1087402.45,2.67,1113800.22,2.43,1194641.78,7.26,1236296.59,3.49,1260456.26,1.95,1192650.18,-5.38,1162033.84,-2.57,1368970.46,17.81,1210604.51,-11.57,1224738.42,1.17
341,Kidney dysfunction,5348562.16,5515573.08,3.12,5577436.35,1.12,5892383.92,5.65,5894837.28,0.04,5882420.34,-0.21,5492181.07,-6.63,5348598.14,-2.61,6467090.13,20.91,5632804.26,-12.9,5486392.36,-2.6
367,High LDL cholesterol,11898136.93,12197638.26,2.52,12207654.5,0.08,12753519.05,4.47,12558660.79,-1.53,12439964.4,-0.95,11572262.7,-6.98,11275821.68,-2.56,14041626.63,24.53,12351028.34,-12.04,12683004.25,2.69
380,Particulate matter pollution,14789454.74,15121708.05,2.25,15176342.67,0.36,15941343.0,5.04,15837382.84,-0.65,15721265.26,-0.73,14666769.39,-6.71,14209525.26,-3.12,17117739.6,20.47,14937240.02,-12.74,15206882.3,1.81
