State,REI ID,REI,2013 DALYs,2013 Rank,2014 DALYs,2014 Rank,2013-2014 YoY %,2015 DALYs,2015 Rank,2014-2015 YoY %,2016 DALYs,2016 Rank,2015-2016 YoY %,2017 DALYs,2017 Rank,2016-2017 YoY %,2018 DALYs,2018 Rank,2017-2018 YoY %,2019 DALYs,2019 Rank,2018-2019 YoY %,2020 DALYs,2020 Rank,2019-2020 YoY %,2021 DALYs,2021 Rank,2020-2021 YoY %,2022 DALYs,2022 Rank,2021-2022 YoY %,2023 DALYs,2023 Rank,2022-2023 YoY %
Uttar Pradesh,99,Smoking,719.36K,1,715.37K,1,-0.55%,680.70K,1,-4.85%,704.33K,1,+3.47%,655.12K,1,-6.99%,620.58K,1,-5.27%,555.09K,1,-10.55%,491.61K,1,-11.44%,568.14K,2,+15.57%,553.23K,1,-2.62%,551.68K,1,-0.28%
West Bengal,99,Smoking,545.12K,2,535.29K,2,-1.80%,512.43K,2,-4.27%,525.41K,2,+2.53%,515.36K,2,-1.91%,502.82K,2,-2.43%,473.18K,2,-5.90%,478.12K,2,+1.05%,590.42K,1,+23.49%,481.65K,2,-18.42%,498.89K,2,+3.58%
Tamil Nadu,99,Smoking,439.08K,3,429.94K,3,-2.08%,412.29K,3,-4.11%,410.15K,3,-0.52%,389.67K,3,-4.99%,357.39K,3,-8.28%,313.44K,6,-12.30%,307.84K,6,-1.79%,350.59K,7,+13.89%,284.84K,6,-18.75%,288.78K,6,+1.38%
Andhra Pradesh,99,Smoking,379.12K,4,369.62K,4,-2.51%,366.31K,4,-0.89%,375.93K,4,+2.63%,371.16K,4,-1.27%,347.08K,4,-6.49%,318.56K,5,-8.22%,316.95K,5,-0.50%,386.97K,5,+22.09%,321.92K,4,-16.81%,320.80K,4,-0.35%
Karnataka,99,Smoking,355.34K,5,353.26K,5,-0.58%,356.37K,5,+0.88%,368.23K,5,+3.33%,364.81K,5,-0.93%,346.51K,5,-5.02%,321.87K,4,-7.11%,339.32K,3,+5.42%,429.50K,3,+26.58%,316.85K,5,-26.23%,320.79K,5,+1.24%
Telangana,99,Smoking,300.18K,6,304.07K,6,+1.30%,310.49K,6,+2.11%,331.79K,6,+6.86%,340.53K,6,+2.63%,339.59K,6,-0.28%,330.85K,3,-2.58%,326.69K,4,-1.26%,393.21K,4,+20.36%,332.76K,3,-15.37%,326.40K,3,-1.91%
Maharashtra,99,Smoking,293.90K,7,272.94K,7,-7.13%,250.71K,9,-8.14%,230.85K,10,-7.92%,216.90K,10,-6.05%,238.25K,9,+9.85%,174.05K,11,-26.95%,144.46K,12,-17.00%,175.22K,12,+21.29%,154.20K,11,-11.99%,158.93K,11,+3.07%
Madhya Pradesh,99,Smoking,280.66K,8,272.04K,8,-3.07%,264.40K,7,-2.81%,269.92K,8,+2.09%,259.50K,8,-3.86%,248.28K,8,-4.32%,235.16K,8,-5.28%,227.27K,9,-3.36%,297.95K,8,+31.10%,235.05K,8,-21.11%,241.90K,8,+2.91%
Gujarat,99,Smoking,263.29K,9,255.50K,10,-2.96%,249.71K,10,-2.27%,252.74K,9,+1.21%,248.94K,9,-1.50%,236.60K,10,-4.96%,225.29K,9,-4.78%,235.30K,8,+4.44%,365.29K,6,+55.25%,223.59K,9,-38.79%,222.08K,9,-0.68%
Rajasthan,99,Smoking,252.66K,10,255.97K,9,+1.31%,260.74K,8,+1.86%,276.57K,7,+6.07%,277.99K,7,+0.51%,271.85K,7,-2.21%,257.16K,7,-5.40%,243.25K,7,-5.41%,281.17K,9,+15.59%,265.54K,7,-5.56%,262.83K,7,-1.02%
Bihar,99,Smoking,223.95K,11,214.54K,11,-4.20%,202.42K,11,-5.65%,210.13K,11,+3.81%,198.65K,11,-5.46%,193.26K,11,-2.72%,180.08K,10,-6.82%,164.16K,10,-8.84%,204.34K,10,+24.47%,174.61K,10,-14.55%,180.47K,10,+3.35%
Kerala,99,Smoking,180.45K,12,175.08K,13,-2.97%,170.35K,13,-2.71%,171.57K,13,+0.72%,167.76K,13,-2.22%,153.21K,13,-8.67%,134.98K,13,-11.90%,114.84K,13,-14.92%,128.17K,14,+11.62%,128.01K,13,-0.13%,127.87K,13,-0.11%
