REI ID,REI Name,Year,State,Sex,20-29,30-39,40-49,50-59,60-69
99,Smoking,2013,Andhra Pradesh,Female,0.0,2.47,20.89,23.0,53.63
99,Smoking,2013,Andhra Pradesh,Male,0.0,7.4,33.54,20.52,38.54
99,Smoking,2013,Arunachal Pradesh,Female,0.0,8.72,24.26,18.93,48.09
99,Smoking,2013,Arunachal Pradesh,Male,0.0,14.9,41.32,17.95,25.83
99,Smoking,2013,Assam,Female,0.0,2.87,11.01,50.07,36.04
99,Smoking,2013,Assam,Male,0.0,9.77,32.76,25.6,31.88
99,Smoking,2013,Bihar,Female,0.0,3.31,12.41,17.24,67.04
99,Smoking,2013,Bihar,Male,0.0,8.23,25.03,19.5,47.23
99,Smoking,2013,Chhattisgarh,Female,0.0,4.18,11.78,14.98,69.06
99,Smoking,2013,Chhattisgarh,Male,0.0,8.23,29.23,22.43,40.11
99,Smoking,2013,Delhi,Female,0.0,4.76,20.16,22.63,52.44
99,Smoking,2013,Delhi,Male,0.0,10.49,37.78,19.15,32.58
99,Smoking,2013,Goa,Female,0.0,6.79,19.29,18.35,55.56
99,Smoking,2013,Goa,Male,0.0,9.51,35.43,21.6,33.45
99,Smoking,2013,Gujarat,Female,0.0,5.92,20.33,29.77,43.98
99,Smoking,2013,Gujarat,Male,0.0,9.31,32.51,24.96,33.22
99,Smoking,2013,Haryana,Female,0.0,3.6,16.53,19.32,60.55
99,Smoking,2013,Haryana,Male,0.0,9.94,35.96,20.29,33.81
99,Smoking,2013,Himachal Pradesh,Female,0.0,4.7,12.44,14.09,68.77
99,Smoking,2013,Himachal Pradesh,Male,0.0,7.56,30.79,21.58,40.08
99,Smoking,2013,Jharkhand,Female,0.0,3.83,13.96,20.16,62.04
99,Smoking,2013,Jharkhand,Male,0.0,9.12,25.38,24.73,40.77
99,Smoking,2013,Karnataka,Female,0.0,2.43,16.6,31.74,49.23
99,Smoking,2013,Karnataka,Male,0.0,10.63,33.85,19.94,35.58
99,Smoking,2013,Kerala,Female,0.0,3.15,8.97,21.74,66.14
99,Smoking,2013,Kerala,Male,0.0,6.44,28.41,26.53,38.62
99,Smoking,2013,Madhya Pradesh,Female,0.0,4.62,11.13,19.87,64.39
99,Smoking,2013,Madhya Pradesh,Male,0.0,10.25,32.67,22.28,34.8
99,Smoking,2013,Maharashtra,Female,0.0,10.0,30.94,23.0,36.06
99,Smoking,2013,Maharashtra,Male,0.0,7.85,27.15,23.3,41.7
99,Smoking,2013,Manipur,Female,0.0,3.19,17.08,22.41,57.32
99,Smoking,2013,Manipur,Male,0.0,8.07,27.09,24.87,39.98
99,Smoking,2013,Meghalaya,Female,0.0,7.7,30.9,19.19,42.21
99,Smoking,2013,Meghalaya,Male,0.0,12.86,33.26,19.86,34.01
99,Smoking,2013,Mizoram,Female,0.0,6.38,21.1,22.99,49.53
99,Smoking,2013,Mizoram,Male,0.0,10.86,33.28,23.43,32.44
99,Smoking,2013,Nagaland,Female,0.0,11.35,43.67,19.59,25.39
99,Smoking,2013,Nagaland,Male,0.0,12.81,36.17,21.8,29.23
99,Smoking,2013,Odisha,Female,0.0,5.03,17.25,21.59,56.12
99,Smoking,2013,Odisha,Male,0.0,8.46,30.3,21.54,39.7
99,Smoking,2013,Punjab,Female,0.0,7.67,21.62,21.7,49.02
99,Smoking,2013,Punjab,Male,0.0,13.66,42.87,13.85,29.62
99,Smoking,2013,Rajasthan,Female,0.0,4.0,15.33,18.93,61.73
99,Smoking,2013,Rajasthan,Male,0.0,10.63,33.24,21.97,34.16
99,Smoking,2013,Sikkim,Female,0.0,8.56,31.37,17.57,42.5
99,Smoking,2013,Sikkim,Male,0.0,15.58,37.06,18.18,29.18
99,Smoking,2013,Tamil Nadu,Female,0.0,4.59,21.73,27.18,46.51
99,Smoking,2013,Tamil Nadu,Male,0.0,10.13,35.06,22.08,32.73
99,Smoking,2013,Telangana,Female,0.0,3.29,18.73,16.84,61.14
99,Smoking,2013,Telangana,Male,0.0,9.58,37.54,16.61,36.27
99,Smoking,2013,Tripura,Female,0.0,7.31,25.26,17.07,50.36
99,Smoking,2013,Tripura,Male,0.0,10.46,34.16,21.81,33.57
99,Smoking,2013,Uttar Pradesh,Female,0.0,2.78,13.03,27.94,56.24
99,Smoking,2013,Uttar Pradesh,Male,0.0,8.11,30.91,21.16,39.81
99,Smoking,2013,Uttarakhand,Female,0.0,2.9,24.75,27.11,45.25
99,Smoking,2013,Uttarakhand,Male,0.0,7.88,36.69,20.49,34.94
99,Smoking,2013,West Bengal,Female,0.0,2.44,13.11,16.15,68.31
99,Smoking,2013,West Bengal,Male,0.0,8.05,30.52,24.42,37.01
99,Smoking,2014,Andhra Pradesh,Female,0.0,2.51,21.12,22.65,53.72
99,Smoking,2014,Andhra Pradesh,Male,0.0,7.31,34.23,20.83,37.63
99,Smoking,2014,Arunachal Pradesh,Female,0.0,8.66,24.64,19.42,47.28
99,Smoking,2014,Arunachal Pradesh,Male,0.0,15.04,41.62,18.19,25.14
99,Smoking,2014,Assam,Female,0.0,2.87,10.9,50.33,35.91
99,Smoking,2014,Assam,Male,0.0,9.53,32.96,26.8,30.71
99,Smoking,2014,Bihar,Female,0.0,3.07,11.72,16.55,68.66
99,Smoking,2014,Bihar,Male,0.0,8.34,25.63,20.06,45.97
99,Smoking,2014,Chhattisgarh,Female,0.0,4.12,12.07,16.64,67.18
99,Smoking,2014,Chhattisgarh,Male,0.0,8.13,29.01,22.86,40.0
99,Smoking,2014,Delhi,Female,0.0,4.59,20.0,23.99,51.41
99,Smoking,2014,Delhi,Male,0.0,9.74,37.71,19.39,33.15
99,Smoking,2014,Goa,Female,0.0,6.77,19.69,18.87,54.67
99,Smoking,2014,Goa,Male,0.0,9.33,34.94,21.85,33.88
99,Smoking,2014,Gujarat,Female,0.0,6.0,20.92,30.57,42.52
99,Smoking,2014,Gujarat,Male,0.0,8.81,31.11,26.03,34.05
99,Smoking,2014,Haryana,Female,0.0,3.23,15.77,20.0,60.99
99,Smoking,2014,Haryana,Male,0.0,9.77,35.02,20.91,34.3
