Risk Factor,2013 Current Weight,2013 YoY % Change,2013 Trend,2013 Priority,2014 Current Weight,2014 YoY % Change,2014 Trend,2014 Priority,2015 Current Weight,2015 YoY % Change,2015 Trend,2015 Priority,2016 Current Weight,2016 YoY % Change,2016 Trend,2016 Priority,2017 Current Weight,2017 YoY % Change,2017 Trend,2017 Priority,2018 Current Weight,2018 YoY % Change,2018 Trend,2018 Priority,2019 Current Weight,2019 YoY % Change,2019 Trend,2019 Priority,2020 Current Weight,2020 YoY % Change,2020 Trend,2020 Priority,2021 Current Weight,2021 YoY % Change,2021 Trend,2021 Priority,2022 Current Weight,2022 YoY % Change,2022 Trend,2022 Priority,2023 Current Weight,2023 YoY % Change,2023 Trend,2023 Priority
High systolic blood pressure,26.46%,,Baseline,High,26.53%,+2.34%,Increasing,Very High,26.70%,+1.09%,Increasing,Very High,26.83%,+5.44%,Increasing,Very High,27.14%,+0.68%,Stable,High,27.35%,+0.24%,Stable,High,27.67%,-5.41%,Decreasing,High,27.96%,-1.16%,Decreasing,High,27.73%,+20.87%,Increasing,Very High,27.94%,-11.64%,Decreasing,High,28.14%,+2.73%,Increasing,Very High
Particulate matter pollution,18.80%,,Baseline,High,18.83%,+2.25%,Increasing,High,18.82%,+0.36%,Stable,High,18.83%,+5.04%,Increasing,High,18.80%,-0.65%,Stable,High,18.76%,-0.73%,Stable,High,18.72%,-6.71%,Decreasing,High,18.54%,-3.12%,Decreasing,High,18.33%,+20.47%,Increasing,High,18.24%,-12.74%,Decreasing,High,18.20%,+1.81%,Increasing,High
High LDL cholesterol,15.12%,,Baseline,High,15.19%,+2.52%,Increasing,High,15.14%,+0.08%,Stable,High,15.07%,+4.47%,Increasing,High,14.91%,-1.53%,Decreasing,High,14.84%,-0.95%,Stable,High,14.77%,-6.98%,Decreasing,High,14.71%,-2.56%,Decreasing,High,15.03%,+24.53%,Increasing,High,15.08%,-12.04%,Decreasing,High,15.18%,+2.69%,Increasing,High
Kidney dysfunction,6.80%,,Baseline,Moderate,6.87%,+3.12%,Increasing,High,6.92%,+1.12%,Increasing,High,6.96%,+5.65%,Increasing,High,7.00%,+0.04%,Stable,Moderate,7.02%,-0.21%,Stable,Moderate,7.01%,-6.63%,Decreasing,Moderate,6.98%,-2.61%,Decreasing,Moderate,6.92%,+20.91%,Increasing,High,6.88%,-12.90%,Decreasing,Moderate,6.57%,-2.60%,Decreasing,Moderate
Smoking,6.63%,,Baseline,Moderate,6.37%,-1.97%,Decreasing,Moderate,6.18%,-2.46%,Decreasing,Moderate,6.07%,+3.03%,Increasing,High,5.95%,-2.50%,Decreasing,Moderate,5.76%,-3.57%,Decreasing,Moderate,5.65%,-8.39%,Decreasing,Moderate,5.58%,-3.41%,Decreasing,Moderate,5.62%,+22.81%,Increasing,High,5.37%,-16.25%,Decreasing,Moderate,5.30%,+0.73%,Stable,Moderate
High body-mass index,3.78%,,Baseline,Low,3.89%,+5.06%,Increasing,Moderate,4.02%,+3.60%,Increasing,Moderate,4.07%,+6.23%,Increasing,Moderate,4.14%,+1.39%,Increasing,Moderate,4.20%,+0.91%,Stable,Low,4.29%,-4.52%,Decreasing,Low,4.43%,+0.98%,Stable,Low,4.41%,+21.35%,Increasing,Moderate,4.56%,-9.40%,Decreasing,Low,4.66%,+4.33%,Increasing,Moderate
High fasting plasma glucose,3.73%,,Baseline,Low,3.79%,+3.66%,Increasing,Moderate,3.84%,+1.87%,Increasing,Moderate,3.91%,+6.86%,Increasing,Moderate,3.99%,+1.35%,Increasing,Moderate,4.06%,+1.31%,Increasing,Moderate,4.08%,-6.11%,Decreasing,Low,4.11%,-1.49%,Decreasing,Low,4.12%,+22.45%,Increasing,Moderate,4.20%,-10.81%,Decreasing,Low,4.24%,+3.19%,Increasing,Moderate
Diet high in sodium,3.03%,,Baseline,Low,3.03%,+2.36%,Increasing,Moderate,3.09%,+2.20%,Increasing,Moderate,3.11%,+5.76%,Increasing,Moderate,3.18%,+1.55%,Increasing,Moderate,3.23%,+1.29%,Increasing,Moderate,3.24%,-6.34%,Decreasing,Low,3.27%,-1.12%,Decreasing,Low,3.27%,+21.66%,Increasing,Moderate,3.24%,-13.09%,Decreasing,Low,3.26%,+2.74%,Increasing,Moderate
Diet low in omega-6 polyunsaturated fatty acids,3.12%,,Baseline,Low,3.10%,+1.42%,Increasing,Moderate,3.07%,-0.62%,Stable,Low,3.05%,+4.32%,Increasing,Moderate,3.01%,-1.93%,Decreasing,Low,2.98%,-1.26%,Decreasing,Low,2.94%,-7.77%,Decreasing,Low,2.91%,-3.14%,Decreasing,Low,2.99%,+25.00%,Increasing,Moderate,2.95%,-13.35%,Decreasing,Low,2.96%,+2.05%,Increasing,Moderate
Diet high in trans fatty acids,2.97%,,Baseline,Low,2.94%,+1.35%,Increasing,Moderate,2.90%,-1.02%,Decreasing,Low,2.88%,+4.11%,Increasing,Moderate,2.84%,-1.84%,Decreasing,Low,2.82%,-1.20%,Decreasing,Low,2.79%,-7.47%,Decreasing,Low,2.78%,-2.42%,Decreasing,Low,2.87%,+25.63%,Increasing,Moderate,2.83%,-13.47%,Decreasing,Low,2.85%,+2.52%,Increasing,Moderate
Diet low in seafood omega-3 fatty acids,3.36%,,Baseline,Low,3.30%,+0.21%,Stable,Low,3.20%,-2.64%,Decreasing,Low,3.11%,+2.10%,Increasing,Moderate,2.99%,-4.51%,Decreasing,Low,2.89%,-3.67%,Decreasing,Low,2.80%,-9.50%,Decreasing,Low,2.74%,-4.27%,Decreasing,Low,2.76%,+22.77%,Increasing,Moderate,2.71%,-13.90%,Decreasing,Low,2.68%,+0.72%,Stable,Low
Secondhand smoke,2.32%,,Baseline,Low,2.32%,+1.78%,Increasing,Moderate,2.29%,-0.59%,Stable,Low,2.28%,+4.40%,Increasing,Moderate,2.27%,-0.98%,Stable,Low,2.26%,-0.88%,Stable,Low,2.26%,-6.58%,Decreasing,Low,2.25%,-2.46%,Decreasing,Low,2.24%,+21.21%,Increasing,Moderate,2.24%,-12.46%,Decreasing,Low,2.24%,+2.15%,Increasing,Moderate
Chewing tobacco,1.35%,,Baseline,Low,1.35%,+2.67%,Increasing,Moderate,1.38%,+2.43%,Increasing,Moderate,1.41%,+7.26%,Increasing,Moderate,1.47%,+3.49%,Increasing,Moderate,1.50%,+1.95%,Increasing,Moderate,1.52%,-5.38%,Decreasing,Low,1.52%,-2.57%,Decreasing,Low,1.47%,+17.81%,Increasing,Moderate,1.48%,-11.57%,Decreasing,Low,1.47%,+1.17%,Increasing,Moderate
Diet low in fiber,1.87%,,Baseline,Low,1.82%,-0.41%,Stable,Low,1.75%,-3.44%,Decreasing,Low,1.68%,+0.89%,Stable,Low,1.60%,-5.50%,Decreasing,Low,1.53%,-4.93%,Decreasing,Low,1.47%,-10.00%,Decreasing,Low,1.42%,-5.67%,Decreasing,Low,1.46%,+25.47%,Increasing,Moderate,1.47%,-11.58%,Decreasing,Low,1.44%,-0.19%,Stable,Low
